exemplar,bepaalt je sociale status,bron van stress / frustraties,er zijn verschillende soorten van,heb je een speciale outfit voor nodig,heeft sterke invloed op de rest van je leven,is bij wet geregeld,is een activiteit,is een job,is iets dat je elke dag uitoefent,is iets voor volwassenen,is verschillend voor mannen en vrouwen,is voordelig voor staat/economie,moet je graag doen om het vol te houden,neemt veel tijd in beslag,oefen je je hele leven uit,oefen je niet thuis uit,oefen je uit,verdien je geld mee,vereist opleiding,vereist specifieke kennis,vereist specifieke vaardigheden
acteur,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1
advocaat,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
apotheker,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
archeoloog,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
architect,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
bakker,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
boekhouder,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1
brandweerman,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
dierenarts,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
directeur,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
dokter,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
informaticus,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
kinesist,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
kok,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
leraar,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
loodgieter,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
marktkramer,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
minister,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
opvoedster,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1
piloot,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
politieagent,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
postbode,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
psycholoog,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
rechter,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
secretaresse,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
slager,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
stewardess,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
tandarts,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
vuilnisman,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
winkelbediende,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
