feature,freq
ademt,2
ademt door longen,3
baart levende jongen,13
eet,2
er zijn verschillende soorten,6
gaat dood,2
heeft een vacht,14
heeft longen,3
heeft ogen,3
heeft poten,2
heeft tepels,2
heeft vier poten,7
is behaard,4
is een dier,6
is een dolfijn,2
is een levend wezen,2
is een mens,15
is er in verschillende groottes,7
is er in verschillende vormen,2
is gewerveld,4
is warmbloedig,5
kan niet vliegen,2
kan verschillende kleuren hebben,2
kan zich voortplanten,4
kan ziek worden,2
kan zwemmen,2
leeft in de zoo,2
leeft in het wild,3
leeft in water,3
leeft op het land,8
leeft op het land en in het water,5
legt geen eieren,8
wordt soms als huisdier gehouden,3
zoogt de jongen,17
