exemplar,aangetrokken door blinkende dingen,aaseter,bedreigde diersoort,blauwgrijs,bouwt nesten,braakt braakballen,brengt kindjes,broedt andere eieren uit,bruin/zwart van kleur,dief,draagt ring,drijft op het water,eet bessen,eet brood,eet fruit,eet graan,eet insecten,eet kikkers,eet kleine dieren,eet muizen,eet vis,eet wormen,eet zaad,er zijn verschillende soorten,filtert met zijn snavel eten uit het water,fluit,gebruikt in wedstrijden,geel,gegeten op feestmalen,gevaarlijk,grijs,grijs-wit,heeft 2 ogen,heeft een donslaag,heeft een gele snavel,heeft een grote spanwijdte van de vleugels,heeft een grote staart,heeft een kam,heeft een kromme bek,heeft een lange nek,heeft een puntige bek,heeft een rood borstje,heeft een snavel,heeft een staart,heeft grote bek,heeft grote klauwen,heeft grote ogen,heeft klauwen,heeft korte poten,heeft lange poten,heeft mooie staart,heeft mooie veren,heeft oog op veer,heeft rode kwab hangen,heeft scherpe klauwen,heeft snavel met zak aan,heeft twee poten,heeft vele kleuren,heeft veren,heeft vleugels,heeft zwemvliezen,in een kippenhok,in kooi,in vijver,is akelig,is bruin,is de baas in het kippenhok,is dom,is donker van kleur,is een dier,is een huisdier,is een roofvogel,is een trekvogel,is een vleeseter,is eetbaar,is grappig,is grijs en zwart en wit,is groen,is groot,is groter dan een kip,is klein,is lekker,is lelijk,is lief,is mooi,is niet gevaarlijk,is schattig,is slim,is snel,is symbool voor vrede,is wit,is zeer mensenschuw,is zeer vroeg wakker,jaagt,kakelt,kan aggressief zijn,kan een groet zijn,kan goed duiken,kan je vangen,kan je voederen,kan mooi fluiten,kan niet vliegen,kan opgevuld worden,kan praten,kan slecht vliegen,kan staart openzetten,kan verschillende kleuren hebben,kan vliegen,kan worden gekweekt,kan zijn kop heel ver draaien,kan zwemmen,kleine snavel,koekoeksklok,komt veel voor,komt voor in belgië,komt voor in de tuin,komt voor in liedjes,komt voor in reclame of als merk,komt voor in sprookjes en verhalen,kraait,kraait 's morgens,kraaloogjes,krijgt kuikens,kwaakt,lange snavel,leeft aan de zee,leeft alleen,leeft in Afrika,leeft in Europa,leeft in bomen,leeft in de bergen,leeft in de natuur,leeft in de zoo,leeft in groep,leeft in het bos,leeft in het wild,leeft in koude gebieden,leeft in tropische gebieden,leeft in velden,leeft in warme landen,leeft in water,leeft niet in België,leeft ook in de stad,leeft op de boerderij,leeft op het land,leeft soms in kerktorens,leeft tussen de mensen,leeft vooral aan de kust,legt eieren,legt eieren in het nest van andere vogels,legt geen eieren,legt grote eieren,lijkt gemeen,maakt een 'oehoe'-geluid,maakt een koerend geluid,maakt gaten in bomen,maakt geluid,maakt heel vervelend geluid,maakt herkenbaar geluid,maakt nesten op grote hoogte,maakt scherp geluid,maakt veel lawaai,maakt veel vuil,maakt vreemd geluid,maakt wakker,mannelijke kip,mannetje- verschillende kleuren,meestal bruin-grijze kleur,meisjesnaam,middelgroot,mooie kleuren,nachtdier,opbergsnavel,oranje snavel,pikt,poolgebieden,rood,scherp zicht,sierlijk,slaapt op een stok,snatert,springt,staart open bij angst,staat soms op 1 poot,steekt kop in grond,stinkt,stripverhaal,tekenfilmfiguur,tok tok' als geluid,tokt op boom,trekt niet weg in de winter,trots,tsjilpt,vaak losgelaten na trouw (huwelijksmis),vaak stilzittend,vliegt hoog,vliegt in V-formatie,vogel,vooral op platte land,vooral te zien in de winter,vrouwtje is bruin,vrouwtje van de haan,waggelt,werd vroeger voor post te bezorgen gebruikt,worden vechtkampen mee georganiseerd,wordt gebruikt in shows,wordt gegeten met Kerstmis,wordt gegeten op thanksgiving,wordt gehouden door duivenmelkers,wordt met wijsheid geassocieerd,wordt niet opgegeten,wordt op gejaagd,wordt vaak de prooi van een kat,zeer prototypische vogel,zegt koekoek,zeldzaam,ziet in het donker,zingt,zit op draden van elektriciteitspalen,zit vaak in parken,zorgt goed voor haar kroost,zwart,zwart met wit,zwarte ogen,zweeft
arend,0,1,4,0,4,0,0,0,2,0,2,0,0,0,0,0,0,1,4,4,2,1,0,2,0,0,0,0,0,2,0,0,4,2,2,4,0,0,3,0,2,0,4,4,0,4,0,4,1,0,0,1,0,0,4,0,4,2,4,4,0,0,0,0,1,4,0,0,4,4,0,4,0,4,0,0,2,0,4,4,0,0,1,0,3,1,0,2,4,0,0,2,0,4,0,2,0,1,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,2,3,4,4,4,0,2,4,0,0,0,3,0,3,0,0,1,0,0,0,4,0,0,1,2,0,0,0,4,0,1,4,3,1,0,1,0,0,0,4,0,2,0,1,0,2,2,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,4,1,0,0,2,4,0,4,0,0,2,0,0,0,0,1,0,0,0,0,4,2,0,1,0,4,0,0,0,0,3,0,0,2,4
duif,0,1,0,3,4,0,0,1,1,0,4,0,1,4,2,4,3,0,0,0,0,2,3,1,0,0,4,0,0,0,3,2,4,2,1,0,0,0,2,0,0,0,4,4,0,0,0,2,2,0,0,0,0,0,1,0,4,2,4,4,0,0,0,0,0,1,0,3,1,4,0,0,0,0,4,0,2,0,0,0,2,3,2,0,0,4,0,0,2,4,1,0,0,0,0,0,0,0,1,4,0,0,2,0,1,0,3,4,3,2,0,3,0,4,4,2,0,0,0,0,0,0,2,0,0,0,0,2,4,2,0,3,0,3,1,4,0,0,0,0,0,0,4,1,1,1,3,0,4,0,0,0,0,0,4,0,4,0,3,1,1,2,3,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,4,1,0,0,4,0,0,1,0,0,4,0,1,0,0,4,0,0,2,2,3,0,0,0,0,2,3,2,0,0,3,0
eend,0,1,0,1,3,0,0,0,2,0,2,4,0,3,0,1,1,0,0,0,2,1,1,4,3,0,0,0,3,0,2,0,4,3,4,0,0,0,0,0,0,0,4,4,2,0,0,0,2,0,0,0,0,0,0,0,4,4,4,4,4,0,0,4,0,3,0,2,2,4,1,0,3,0,4,2,0,2,0,0,2,4,0,3,3,4,2,0,1,0,1,0,0,2,0,2,0,2,1,4,0,1,2,0,0,0,3,3,3,1,4,0,0,4,4,1,2,0,2,0,0,0,3,4,0,0,0,2,4,0,0,4,0,2,1,4,0,0,0,0,4,0,1,2,2,0,1,0,4,0,0,0,0,0,0,0,4,1,4,0,0,3,2,0,0,0,4,2,0,1,3,0,0,3,2,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,2,0,0,0,2,0,2,4,1,0,3,0,4,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,2,0
ekster,3,2,0,1,4,0,0,1,1,3,2,0,3,3,0,1,4,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,4,4,0,0,0,2,1,0,1,0,0,0,1,0,4,0,4,4,0,0,0,0,0,0,0,0,3,4,0,0,1,1,0,0,1,0,0,0,2,0,1,0,2,4,0,1,2,0,0,2,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,4,0,1,0,2,0,2,4,2,0,0,0,0,0,2,2,0,0,0,2,0,4,4,0,4,0,0,3,4,0,0,1,0,0,0,1,2,1,0,1,0,4,0,0,0,0,0,0,0,4,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,1,1,2,2,2,3,0
fazant,0,1,0,0,4,0,0,0,2,0,2,0,2,3,0,3,3,0,0,0,0,4,3,1,0,0,0,0,1,0,1,0,4,1,1,1,3,0,0,0,1,0,4,4,0,0,0,2,1,0,2,2,0,1,1,0,4,3,4,4,0,0,0,0,0,4,0,1,4,4,0,0,0,0,4,0,1,1,3,4,0,4,1,0,2,4,0,0,1,0,0,1,0,0,0,2,0,0,2,3,0,0,2,0,2,1,1,4,3,1,0,1,0,1,4,1,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,4,0,0,4,4,0,0,2,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,2,3,0,3,2,0,0,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,4,3,1,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,1,2,0,0,3,0
gier,0,2,3,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,2,1,0,4,1,1,4,0,0,4,2,2,0,4,4,1,4,0,4,1,0,0,0,0,1,4,0,4,0,4,4,0,0,0,0,4,1,0,0,3,4,0,3,0,4,0,0,2,0,4,4,0,0,3,0,0,1,0,0,4,0,0,0,0,3,0,2,0,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,3,1,1,2,4,4,1,0,4,0,1,0,3,0,4,0,0,1,0,0,0,4,0,0,1,4,0,0,0,4,0,0,1,2,1,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,4,0,1,0,0,0,0,0,1,1,1,0,0,4,0,0,0,1,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,0,2,2,4
haan,0,2,0,0,1,0,0,0,2,0,2,0,2,4,3,4,2,0,0,0,0,3,3,2,0,0,4,0,1,0,1,0,4,1,3,0,2,4,3,0,1,0,4,4,0,0,0,2,1,0,2,1,0,2,1,0,4,4,4,4,0,4,0,0,0,3,4,1,4,4,1,0,0,1,4,0,0,1,1,3,1,3,0,0,2,3,0,1,0,0,1,0,4,0,2,4,0,0,1,4,0,2,2,0,2,0,4,2,3,1,0,2,0,4,4,2,0,0,0,3,3,0,0,0,0,0,1,2,4,0,0,2,0,2,0,0,0,0,0,1,0,0,1,4,4,0,1,0,2,0,2,0,3,0,0,0,4,2,4,0,2,4,0,0,4,4,3,1,0,3,1,0,0,3,3,0,0,0,0,2,0,0,0,1,0,1,0,2,1,0,4,1,0,0,0,0,0,4,3,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0
kalkoen,0,1,0,0,3,0,0,0,1,0,2,0,1,4,4,4,2,0,0,0,0,1,3,1,0,0,0,0,4,0,1,2,4,1,3,2,0,3,2,0,1,0,4,4,0,0,0,2,1,0,0,0,0,4,1,0,4,2,4,4,0,1,0,0,0,1,0,3,1,4,0,0,0,0,4,0,1,0,4,4,0,4,4,0,0,3,0,0,0,0,1,0,0,0,2,3,0,0,1,4,0,1,4,0,1,0,1,2,4,1,0,2,0,3,4,1,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,3,0,3,2,1,0,0,1,0,0,0,1,4,4,0,1,0,4,0,0,0,2,0,0,0,4,2,2,0,1,2,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0
kanarie,0,1,0,0,4,0,0,1,0,0,2,0,1,2,0,3,1,0,0,0,0,1,4,2,0,4,1,4,0,0,0,0,4,1,3,0,0,0,0,0,0,0,4,4,0,0,0,2,2,0,0,1,0,0,1,0,4,4,4,4,0,0,4,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,2,1,4,2,0,2,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,2,4,2,1,0,4,0,4,4,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,2,0,1,1,2,0,1,0,1,0,1,1,0,1,0,1,0,4,0,0,0,0,0,0,0,4,1,3,0,1,3,0,0,0,0,0,0,0,0,2,0,0,3,3,0,1,1,0,2,0,2,0,0,0,1,0,0,0,0,4,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,3,0,0,2,0,0,3,0
kip,0,2,0,0,3,0,0,0,2,0,2,0,2,4,4,4,2,0,0,0,0,3,3,3,0,0,1,0,0,0,2,2,4,1,3,0,0,1,3,0,1,0,4,4,0,0,0,2,1,0,0,0,0,1,1,0,4,3,4,4,0,4,0,0,0,3,0,3,2,4,1,0,0,1,4,1,2,0,0,0,2,4,1,1,0,4,0,0,0,0,2,0,1,0,3,1,0,0,1,4,0,2,2,0,2,0,3,2,4,1,0,2,0,4,4,2,1,0,1,0,0,0,4,0,0,0,0,2,4,0,0,2,0,3,0,0,0,0,0,1,0,0,1,4,4,0,1,0,4,0,0,0,0,0,0,0,4,2,4,0,1,2,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,1,0,2,2,0,4,0,0,0,1,0,0,4,3,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,2,0
