feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
beschermen je voeten,0,1,2,0,-3,2,0,2,-1,0,-3,-3,-0.25,1.9128750375000738
beschermt je oren tegen de kou,-1,1,2,1,0,2,0,1,-2,0,-3,-3,-0.16666666666666666,1.7494587907710375
beschermt je tegen de kou,3,3,2,2,3,3,2,3,1,3,3,3,2.5833333333333335,0.6685579234215214
beschermt tegen de regen,1,3,2,2,2,3,2,2,1,3,2,3,2.1666666666666665,0.7177405625652734
beschermt tegen de wind,1,3,2,2,1,3,2,2,1,3,2,3,2.0833333333333335,0.7929614610987591
beschermt tegen de zon,1,3,2,2,1,3,2,2,1,3,2,3,2.0833333333333335,0.7929614610987591
bestaat al lang,-3,-2,0,1,2,0,-3,0,-1,3,-3,3,-0.25,2.220769727328383
bestaat in verschillende diktes,-3,-3,1,0,1,0,-3,-1,1,1,-1,1,-0.5,1.6787441193290353
bestaat in verschillende formaten,-3,-2,2,0,0,0,-3,1,2,1,1,1,0.0,1.7580981459830651
bestaat in verschillende kleuren,-1,-3,2,0,0,0,0,1,0,1,1,1,0.16666666666666666,1.2673044646258473
bestaat in verschillende maten,1,2,3,0,3,0,3,2,2,1,1,1,1.5833333333333333,1.0836246694508318
bestaat in verschillende merken,0,2,2,0,3,0,3,3,2,1,1,1,1.5,1.1677484162422844
bestaat in verschillende modellen,1,1,2,0,1,0,1,2,2,1,1,1,1.0833333333333333,0.6685579234215215
bestaat in verschillende soorten,-2,-2,2,0,2,0,-2,1,0,1,1,1,0.16666666666666666,1.4668044012461752
bestaat in verschillende vormen,0,-2,2,0,1,0,-2,0,1,1,-2,1,0.0,1.348399724926484
bestaat per twee,-3,-3,-2,-2,-1,0,-3,-2,-3,-1,-3,-3,-2.1666666666666665,1.0298573010888745
bestaat uit broek en trui,-3,3,1,-3,0,1,3,-1,-1,0,-2,-3,-0.4166666666666667,2.151461800448216
bestaat uit hemd,-3,3,1,-3,0,1,3,0,0,0,-2,-3,-0.25,2.137330535547045
bestaat uit twee delen,-3,-3,-2,-3,-2,0,-3,-1,-3,0,-2,-3,-2.0833333333333335,1.164500152881315
bestaat uit verschillende delen,-3,0,1,0,2,0,-3,-1,2,0,2,-3,-0.25,1.9128750375000738
bestaat uit vest,-3,-3,1,-3,0,1,3,-1,0,0,-2,-3,-0.8333333333333334,1.9924098397912435
