exemplar,% known,age of acquisition
arend,99.26,8.0
duif,99.51,6.0
eend,99.25,4.87
ekster,98.28,7.29
fazant,98.06,8.3
gier,96.81,8.68
haan,99.01,5.29
kalkoen,99.75,6.92
kanarie,98.76,7.08
kip,98.75,4.38
koekoek,99.25,6.39
kraai,99.26,7.25
mees,98.55,8.5
meeuw,98.78,6.7
merel,98.55,7.25
mus,99.51,6.5
ooievaar,100.0,6.21
papegaai,99.01,5.63
parkiet,99.75,6.71
pauw,99.02,6.71
pelikaan,97.81,8.17
pinguïn,99.5,7.46
reiger,99.26,9.83
roodborstje,99.26,6.71
specht,99.75,8.22
struisvogel,98.04,8.04
uil,99.26,5.92
valk,98.52,9.08
zwaan,99.26,6.0
zwaluw,97.07,7.3
