exemplar,% known,age of acquisition
aap,99.01,4.42
bever,98.52,7.5
bizon,98.75,7.68
dromedaris,97.07,8.13
eekhoorn,98.27,6.58
egel,99.01,5.92
ezel,98.76,5.75
giraf,99.5,6.21
hamster,99.75,6.13
hert,99.25,6.61
hond,99.26,3.38
ijsbeer,99.75,6.42
kangoeroe,99.75,7.38
kat,99.0,4.04
koe,99.26,4.0
konijn,99.5,4.58
lama,98.27,9.21
leeuw,100.0,4.96
muis,99.5,4.92
neushoorn,99.75,6.91
nijlpaard,98.76,6.83
olifant,99.24,4.96
paard,97.3,4.54
schaap,99.5,4.7
tijger,99.51,6.21
varken,100.0,4.79
vleermuis,98.27,6.1
vos,98.06,5.63
wolf,99.5,5.25
zebra,99.0,6.63
