exemplar,% known,age of acquisition
acteur,100.0,8.96
advocaat,100.0,9.04
apotheker,100.0,7.7
archeoloog,100.0,11.29
architect,100.0,10.21
bakker,100.0,4.78
boekhouder,100.0,10.91
brandweerman,100.0,5.58
dierenarts,100.0,7.29
directeur,100.0,6.92
dokter,100.0,4.88
informaticus,95.83,12.0
kinesist,100.0,10.25
kok,100.0,6.57
leraar,100.0,7.08
loodgieter,100.0,9.17
marktkramer,100.0,7.42
minister,100.0,9.67
opvoedster,100.0,10.46
piloot,100.0,7.08
politieagent,100.0,4.65
postbode,100.0,6.35
psycholoog,100.0,11.79
rechter,100.0,8.71
secretaresse,100.0,8.88
slager,100.0,6.65
stewardess,100.0,10.54
tandarts,100.0,6.25
vuilnisman,100.0,7.04
winkelbediende,100.0,8.43
