exemplar,category strength,exemplar strength
arend,0.000,0.178
duif,0.004,0.093
eend,0.000,0.030
ekster,0.004,0.217
fazant,0.000,0.144
gier,0.000,0.169
haan,0.000,0.000
kalkoen,0.000,0.022
kanarie,0.015,0.154
kip,0.007,0.019
koekoek,0.000,0.251
kraai,0.000,0.201
mees,0.000,0.261
meeuw,0.011,0.159
merel,0.007,0.248
mus,0.030,0.222
ooievaar,0.007,0.115
papegaai,0.004,0.146
parkiet,0.004,0.199
pauw,0.004,0.067
pelikaan,0.000,0.191
pinguïn,0.000,0.030
reiger,0.000,0.196
roodborstje,0.019,0.230
specht,0.000,0.207
struisvogel,0.000,0.044
uil,0.000,0.074
valk,0.000,0.210
zwaan,0.000,0.037
zwaluw,0.004,0.184
