exemplar,category strength,exemplar strength
bij,0.059,0.000
bloedzuiger,0.000,0.026
daas,0.000,0.059
duizendpoot,0.000,0.133
fruitvlieg,0.000,0.034
hommel,0.004,0.030
kakkerlak,0.004,0.078
kever,0.022,0.093
krekel,0.004,0.082
libel,0.000,0.074
lieveheersbeestje,0.004,0.052
luis,0.000,0.007
meikever,0.000,0.099
mier,0.067,0.063
mot,0.000,0.033
mug,0.085,0.038
oorworm,0.000,0.064
pissebed,0.000,0.133
rups,0.004,0.004
spin,0.037,0.043
sprinkhaan,0.000,0.052
vlieg,0.148,0.057
vlinder,0.004,0.030
vlo,0.000,0.022
wesp,0.022,0.026
worm,0.004,0.007
