exemplar,category strength,exemplar strength
blikopener,0.000,0.004
bord,0.034,0.000
broodrooster,0.000,0.000
fles,0.000,0.000
fornuis,0.003,0.000
frigo,0.000,0.004
glas,0.003,0.000
handdoek,0.000,0.000
ketel,0.000,0.000
klopper,0.010,0.003
koffiezet,0.007,0.000
kom,0.000,0.000
lepel,0.118,0.000
mes,0.145,0.000
microgolf,0.000,0.000
mixer,0.037,0.000
notenkraker,0.000,0.000
onderlegger,0.000,0.000
oven,0.000,0.000
pan,0.074,0.004
pot,0.047,0.000
rasp,0.010,0.007
schaar,0.010,0.000
schort,0.003,0.000
spatel,0.000,0.000
tas,0.007,0.000
theelepel,0.000,0.000
vergiet,0.007,0.000
vork,0.088,0.000
waterkoker,0.000,0.000
weegschaal,0.000,0.000
wok,0.000,0.000
zeef,0.000,0.004
