exemplar,generation frequency,mean rank position
accordeon,6,4.333333333
banjo,3,4.666666667
basgitaar,19,5.368421053
cello,35,5.4
cimbalen,4,6.5
contrabas,25,6.0
doedelzak,4,5.75
drumstel,62,5.419354839
dwarsfluit,65,4.769230769
fagot,6,8.333333333
fluit,43,4.023255814
gitaar,107,3.093457944
harp,26,5.230769231
klarinet,34,5.382352941
klavecimbel,10,5.9
mondharmonica,6,7.0
orgel,9,4.0
panfluit,6,5.5
piano,97,2.762886598
saxofoon,44,4.181818182
synthesizer,5,4.6
tamboerijn,2,9.0
triangel,6,5.333333333
trombone,9,6.555555556
trommel,13,5.615384615
trompet,53,5.188679245
viool,82,3.353658537
