exemplar,generation frequency,mean rank position
acteur,2,6.5
advocaat,33,3.39
apotheker,6,3.67
archeoloog,1,5.0
architect,5,4.4
bakker,31,4.0
boekhouder,4,3.0
brandweerman,6,4.67
dierenarts,2,4.5
directeur,7,5.14
dokter,56,3.07
informaticus,5,5.6
kinesist,8,3.38
kok,8,2.5
leraar,44,3.59
loodgieter,5,5.0
marktkramer,1,6.0
minister,4,3.0
opvoedster,5,4.0
piloot,8,2.63
politieagent,7,4.33
postbode,5,3.6
psycholoog,85,2.67
rechter,7,5.57
secretaresse,10,4.8
slager,17,4.94
stewardess,2,2.0
tandarts,23,3.22
vuilnisman,9,4.89
winkelbediende,9,4.22
