exemplar,generation frequency,mean rank position
aambeeld,1,8.0
beitel,62,2.677419355
bijl,17,3.0
boormachine,52,4.25
breekijzer,1,4.0
engelse sleutel,4,6.5
grasmachine,5,5.2
hamer,115,1.739130435
houtklem,1,6.0
houweel,1,6.0
koevoet,3,3.666666667
kruiwagen,10,4.1
mes,17,5.823529412
moersleutel,3,3.666666667
oliespuit,1,8.0
plamuurmes,1,5.0
ploeg,15,4.2
schaaf,1,5.0
schop,45,4.066666667
schroevendraaier,61,4.37704918
slijpschijf,9,5.333333333
spijker,9,3.777777778
staalborstel,1,6.0
stofzuiger,1,4.0
tang,38,3.973684211
touw,2,4.0
verfborstel,2,6.0
vijl,9,4.777777778
waterpas,2,6.0
zaag,73,3.643835616
