exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
beha,5,5,4,4,3,5,5,5,4,4,5,4,5,5,5,5,5,3,5,4,4,5,4,3,5,5,4,4,4.428571429,0.690065559,28
bloes,3,5,3,4,3,5,5,4,4,4,4,3,5,3,5,5,5,3,2,3,3,4,4,3,5,5,3,5,3.928571429,0.939998874,28
broek,5,5,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4.785714286,0.498675494,28
das,3,3,3,3,3,2,3,4,2,4,3,3,5,2,3,4,3,2,3,2,2,3,3,2,3,3,3,3,2.928571429,0.71639899,28
hemd,4,5,3,4,5,4,5,4,3,4,4,5,5,5,4,4,5,4,4,4,3,4,5,3,4,5,5,3,4.178571429,0.722832465,28
hoed,2,3,3,4,4,2,3,5,2,3,3,3,4,2,3,4,3,3,2,2,2,2,3,2,3,4,3,2,2.892857143,0.831744517,28
jas,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,4.785714286,0.498675494,28
jeans,4,5,4,5,5,5,5,4,5,4,5,5,5,3,5,5,5,5,4,5,4,3,4,4,5,5,3,4,4.464285714,0.692934867,28
jogging,3,5,3,4,4,3,3,5,3,2,4,3,5,4,4,3,5,5,3,5,2,4,4,2,5,3,3,2,3.607142857,1.030615987,28
kleed,3,5,4,3,5,4,4,5,2,3,3,4,5,3,3,5,5,4,2,3,2,4,3,3,5,3,3,3,3.607142857,0.994029797,28
kostuum,4,5,3,3,4,4,3,4,2,3,4,4,4,3,3,4,4,3,3,3,3,4,3,2,4,4,3,3,3.428571429,0.690065559,28
laarzen,2,5,3,4,4,5,4,4,3,2,5,3,5,2,3,4,4,3,3,2,2,4,3,3,5,4,3,3,3.464285714,0.999338405,28
muts,3,3,3,4,4,3,4,4,3,3,4,4,5,4,3,4,5,4,3,3,3,2,3,3,4,3,3,3,3.464285714,0.692934867,28
pet,2,3,3,3,3,3,4,5,2,2,4,3,4,4,3,3,5,4,2,4,2,2,4,2,4,3,3,2,3.142857143,0.931517508,28
pyjama,3,5,3,5,5,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5,3,5,4.5,0.881917104,28
riem,4,5,3,4,4,4,5,4,3,3,4,4,5,4,5,4,5,5,3,5,4,3,4,3,5,5,4,3,4.071428571,0.766356045,28
rok,3,5,3,4,5,5,5,4,3,4,4,4,5,5,4,5,5,3,4,3,4,4,3,3,5,3,3,5,4.035714286,0.83808171,28
salopet,2,3,2,3,3,2,2,3,1,2,4,1,4,2,3,4,3,2,2,3,2,3,2,2,3,2,3,1,2.464285714,0.83808171,28
schoenen,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4.821428571,0.390021028,28
short,4,4,3,4,3,3,4,5,3,4,2,3,5,4,3,4,5,4,5,4,3,3,4,2,5,4,3,4,3.714285714,0.854493259,28
sjaal,3,4,3,4,5,3,4,5,2,4,4,5,5,4,5,4,5,3,5,4,4,4,3,2,5,5,4,3,3.964285714,0.922241346,28
slip,4,5,3,5,3,5,5,5,3,3,2,2,5,3,5,4,4,4,2,3,2,5,4,3,5,5,3,2,3.714285714,1.150109266,28
sokken,3,5,3,4,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,2,4.5,0.881917104,28
sweater,3,5,3,3,2,4,5,5,4,4,2,2,5,3,5,5,3,4,2,4,2,4,4,3,3,3,3,2,3.464285714,1.07089934,28
t-shirt,2,5,4,3,3,4,4,4,4,4,2,3,5,5,4,4,5,2,4,3,3,5,2,2,5,4,3,3,3.607142857,1.030615987,28
topje,4,5,3,4,4,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,5,3,5,5,3,4,4.428571429,0.690065559,28
trui,4,5,3,3,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,4,4,5,3,5,5,4,4,4.5,0.693888666,28
wanten,3,2,3,4,2,3,2,3,2,2,2,1,4,2,5,4,3,3,3,2,2,2,3,4,3,3,3,2,2.75,0.887151079,28
zwempak,3,4,3,4,3,3,3,5,3,2,3,4,4,1,3,3,4,3,4,4,2,4,3,2,3,3,3,4,3.214285714,0.832539304,28
