exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
accordeon,3,2,3,3,4,2,2,2,3,4,3,1,3,3,2,2,4,3,2,2,3,4,2,3,2,3,3,3,2.714285714,0.76289618,28
banjo,3,1,3,2,3,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,3,1,2,2,2,3,3,2.25,0.645497224,28
basgitaar,4,3,4,2,4,3,3,3,3,3,3,4,5,5,3,3,4,3,3,3,4,4,3,4,3,5,3,3,3.464285714,0.744468135,28
cello,2,2,3,2,4,2,3,2,3,2,3,1,3,4,4,2,2,2,2,2,3,2,1,3,2,2,3,3,2.464285714,0.792658109,28
cimbalen,3,1,3,3,3,2,2,2,2,3,2,1,3,3,2,2,2,2,2,2,3,2,2,4,2,2,3,3,2.357142857,0.678466993,28
contrabas,3,1,3,3,3,2,3,2,3,3,3,1,4,3,4,2,3,3,2,2,2,3,1,4,2,2,3,3,2.607142857,0.831744517,28
doedelzak,3,1,3,2,3,2,2,2,2,2,3,1,3,3,2,3,2,2,2,2,4,3,2,3,2,2,2,3,2.357142857,0.678466993,28
drumstel,4,2,3,3,4,2,3,3,3,4,3,4,5,5,3,3,3,4,3,3,4,2,4,5,4,4,3,3,3.428571429,0.835710894,28
dwarsfluit,4,2,3,3,4,5,3,2,3,3,4,3,4,4,3,2,3,3,2,2,3,2,2,3,3,2,3,3,2.964285714,0.792658109,28
fagot,2,1,3,2,2,2,3,2,2,2,3,2,2,2,2,2,3,3,2,1,2,2,1,2,2,2,3,3,2.142857143,0.59093684,28
fluit,4,3,3,4,4,5,3,2,3,4,3,5,3,2,3,2,4,2,3,3,4,4,2,3,3,3,4,3,3.25,0.844371342,28
gitaar,4,3,5,3,4,4,4,3,3,4,4,3,5,5,4,4,4,3,3,4,5,4,3,4,4,5,4,3,3.857142857,0.705233647,28
harp,2,2,3,2,3,2,2,3,3,3,2,2,3,2,2,2,3,2,2,2,4,3,1,4,2,2,2,3,2.428571429,0.690065559,28
klarinet,4,2,2,2,4,3,2,2,3,3,2,2,3,3,2,3,3,4,2,2,3,3,1,3,3,3,3,3,2.678571429,0.722832465,28
klavecimbel,3,1,3,2,3,2,2,2,2,2,3,1,2,2,2,2,3,2,2,2,2,2,1,2,2,2,3,3,2.142857143,0.59093684,28
mondharmonica,3,2,4,2,4,2,2,2,3,3,3,2,2,2,2,2,3,4,2,2,3,2,2,4,2,2,2,3,2.535714286,0.744468135,28
orgel,2,2,3,2,4,2,3,2,2,3,3,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,3,3,2.464285714,0.576203594,28
panfluit,2,2,3,3,3,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,3,2,3,2,2,2,3,3,2.25,0.518187725,28
piano,4,3,4,4,4,4,4,3,3,4,5,2,4,4,4,3,4,3,3,3,5,4,4,4,4,4,3,3,3.678571429,0.669636243,28
saxofoon,3,2,3,2,4,3,2,2,3,3,3,1,4,5,2,2,3,4,3,3,3,4,2,4,3,3,2,3,2.892857143,0.875141712,28
synthesizer,2,1,3,3,4,3,3,2,3,3,4,3,4,3,2,3,2,2,3,2,3,4,2,4,3,3,3,3,2.857142857,0.755928946,28
tamboerijn,3,2,3,3,3,2,2,2,2,4,3,1,2,2,2,2,2,3,2,2,1,3,1,4,3,3,3,3,2.428571429,0.790151014,28
triangel,3,2,3,2,4,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,1,4,2,2,3,3,2.464285714,0.692934867,28
trombone,2,1,3,2,3,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,1,2,1,3,2,2,3,3,2.107142857,0.685256682,28
trommel,3,2,3,3,4,3,3,2,3,4,3,2,4,4,3,3,3,3,3,3,2,4,2,4,3,3,3,3,3.035714286,0.63724772,28
trompet,4,2,3,3,4,4,3,2,3,3,3,2,3,4,3,2,2,3,3,2,4,4,1,4,3,2,3,3,2.928571429,0.813250061,28
viool,4,3,3,3,4,3,4,2,3,3,4,2,3,3,3,3,2,2,3,3,4,4,1,4,3,4,3,3,3.071428571,0.766356045,28
