exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
badminton,3,3,3,3,2,4,4,5,4,2,4,3,4,4,4,3,3,2,3,4,3,2,3,5,3,3,3,4,3.321428571,0.818923025,28
ballet,3,2,2,3,3,1,2,5,2,1,4,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2,4,3,2.714285714,0.854493259,28
baseball,3,2,1,3,2,2,2,5,1,2,3,2,3,4,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2.642857143,0.826159599,28
basketbal,3,3,4,4,2,3,5,4,5,2,3,3,3,3,3,3,2,2,4,3,3,2,3,3,3,3,4,2,3.107142857,0.831744517,28
biljarten,3,3,2,3,2,4,5,5,2,2,4,3,3,3,2,3,2,2,3,2,2,2,3,3,3,3,3,4,2.892857143,0.875141712,28
boksen,3,3,2,4,2,2,4,4,2,2,3,3,3,4,3,3,2,2,3,2,2,2,3,3,3,3,3,4,2.821428571,0.722832465,28
golf,3,3,2,3,2,2,3,4,2,2,2,2,5,3,2,3,2,2,3,2,2,2,3,2,3,2,3,3,2.571428571,0.741798187,28
handbal,3,2,2,3,2,2,4,4,2,2,3,2,3,3,2,3,2,2,3,2,2,2,3,2,3,2,3,2,2.5,0.638284739,28
hardlopen,3,2,4,2,3,3,3,5,3,2,4,2,3,3,3,3,2,2,3,2,3,2,3,3,3,3,4,4,2.928571429,0.766356045,28
ijshockey,3,2,2,3,2,1,3,4,4,2,2,2,3,2,2,3,2,2,3,3,3,2,3,3,3,2,3,3,2.571428571,0.690065559,28
judo,3,3,2,3,2,2,4,5,3,1,3,5,3,3,3,3,3,2,3,4,3,4,3,3,3,4,3,3,3.071428571,0.857583661,28
kogelstoten,2,2,2,3,3,2,2,5,2,1,3,2,3,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2.25,0.799305254,28
paardrijden,3,2,3,3,4,1,4,4,5,4,4,2,3,3,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3.142857143,0.803431793,28
rugby,3,3,2,3,3,2,5,4,4,2,3,2,3,4,2,3,1,2,3,3,3,2,3,2,2,3,4,4,2.857142857,0.890870806,28
schaken,3,2,2,3,3,3,5,4,3,2,3,3,2,4,3,3,2,2,3,3,2,2,3,3,3,2,3,2,2.785714286,0.738223235,28
schermen,3,2,2,2,2,2,3,5,2,2,3,2,3,3,2,3,1,2,3,2,2,1,2,3,2,2,3,3,2.392857143,0.785954749,28
skiën,3,3,2,3,3,3,2,5,4,2,5,4,5,3,4,3,2,2,3,3,3,2,3,2,4,3,3,4,3.142857143,0.931517508,28
sportvissen,2,1,1,2,1,2,2,3,1,1,2,3,3,2,2,3,1,2,2,2,2,2,3,2,2,2,3,2,2.0,0.666666667,28
squash,3,4,3,3,3,1,4,5,2,2,4,2,3,3,2,3,2,2,3,2,2,2,3,2,2,2,3,3,2.678571429,0.862965234,28
surfen,3,3,2,3,3,1,3,5,4,2,4,2,5,4,3,3,2,2,3,3,2,2,3,2,3,2,3,4,2.892857143,0.956044541,28
tafeltennis,3,2,3,3,3,4,5,5,2,2,5,4,3,4,3,3,2,2,3,3,2,2,3,3,3,3,4,3,3.107142857,0.916486274,28
tennis,3,3,4,4,4,4,5,5,3,3,5,4,3,3,3,3,3,3,5,4,3,4,3,3,4,3,3,3,3.571428571,0.741798187,28
turnen,3,3,3,4,3,1,5,5,5,1,4,5,5,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3.178571429,1.090483122,28
verspringen,2,3,2,3,2,2,2,5,2,1,3,3,3,3,2,3,2,2,3,2,3,2,3,3,3,2,3,2,2.535714286,0.744468135,28
voetbal,3,4,4,4,4,5,5,5,5,3,4,5,5,4,3,4,3,4,4,5,3,2,4,4,4,4,5,5,4.071428571,0.813250061,28
volleybal,3,3,3,3,4,2,5,4,5,2,4,3,3,3,3,3,2,2,3,3,4,2,3,3,3,3,3,4,3.142857143,0.803431793,28
wandelen,4,5,4,4,4,5,5,5,5,4,5,5,5,3,3,4,4,2,3,5,4,4,5,5,3,4,5,5,4.25,0.844371342,28
wielrennen,3,3,2,3,4,2,4,5,4,2,3,4,4,3,2,3,2,2,3,4,5,1,3,2,4,3,5,4,3.178571429,1.055973184,28
zeilen,2,2,2,3,2,1,4,5,2,2,4,2,3,3,2,3,2,2,3,2,2,2,3,2,2,2,3,3,2.5,0.838870493,28
zwemmen,3,3,5,4,4,3,5,5,4,3,5,5,5,5,4,3,4,3,3,5,3,3,3,5,4,3,3,4,3.892857143,0.875141712,28
