exemplar,missing,mean,std,nonmissing
beha,0,6.55,0.89,31
bloes,0,5.67,1.12,30
broek,0,6.44,0.88,36
das,0,6.0,1.35,35
hemd,0,6.18,1.34,34
hoed,0,6.32,0.91,34
jas,0,6.46,0.8,37
jeans,0,6.8,0.48,30
jogging,0,5.81,1.49,32
kleed,0,5.83,1.38,35
kostuum,0,6.38,0.98,29
laarzen,0,6.39,0.99,31
muts,0,6.52,0.87,29
pet,0,6.34,0.8,35
pyjama,0,6.0,1.25,33
riem,0,6.48,1.09,27
rok,0,6.27,1.1,33
salopet,0,5.5,1.8,30
schoenen,0,6.52,0.8,33
short,0,6.12,1.18,26
sjaal,0,6.31,1.12,32
slip,0,6.03,1.42,33
sokken,0,6.29,1.19,34
sweater,0,6.55,0.87,33
t-shirt,0,6.62,0.7,34
topje,0,5.81,1.36,27
trui,0,6.43,0.86,30
wanten,0,6.5,1.07,30
zwempak,0,6.06,1.45,35
