exemplar,missing,mean,std,nonmissing
blikopener,0,6.0,1.26,26
bord,0,6.3,1.21,33
broodrooster,0,6.13,1.31,31
fles,0,6.58,0.9,33
fornuis,0,5.87,1.54,31
frigo,1,6.38,0.91,32
glas,0,6.37,0.85,38
handdoek,0,5.81,1.41,36
ketel,0,5.82,1.38,34
klopper,0,5.76,1.58,34
koffiezet,0,6.03,1.4,32
kom,0,5.76,1.37,34
lepel,0,6.41,1.37,27
mes,0,6.25,1.14,32
microgolf,0,6.46,0.86,26
mixer,0,6.19,1.23,32
notenkraker,0,6.03,1.47,34
onderlegger,0,5.47,1.57,32
oven,0,6.36,1.06,33
pan,0,6.22,1.18,32
pot,0,6.31,1.11,35
rasp,0,4.61,1.78,31
schaar,0,6.65,0.65,34
schort,0,6.06,1.29,36
spatel,0,4.2,1.77,30
tas,0,5.85,1.3,33
theelepel,0,5.63,1.7,32
vergiet,1,5.61,1.8,31
vork,0,6.43,0.94,30
waterkoker,0,5.93,1.6,30
weegschaal,0,6.55,0.71,33
wok,0,6.29,1.19,31
zeef,0,5.03,2.13,32
