exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,10.0,10.0,14.0,9.0,14.0,12.0,16.0,9.0,11.0,11.0,12.0,13.0,11.0,9.0,14.0,10.0,14.0,11.0,10.0,14.0,10.0,12.0,10.0,10.0,11.0,14.0,15.0,10.0,11.0
duif,10.0,20.0,14.0,14.0,10.0,9.0,10.0,12.0,14.0,12.0,12.0,13.0,12.0,12.0,11.0,12.0,9.0,11.0,11.0,12.0,10.0,9.0,13.0,16.0,17.0,9.0,10.0,14.0,12.0,12.0
eend,10.0,14.0,20.0,10.0,13.0,10.0,17.0,16.0,11.0,13.0,11.0,10.0,11.0,12.0,9.0,11.0,9.0,12.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,12.0,10.0,15.0,10.0
ekster,14.0,14.0,10.0,20.0,11.0,10.0,9.0,10.0,11.0,12.0,10.0,11.0,12.0,11.0,13.0,14.0,9.0,10.0,11.0,13.0,16.0,11.0,14.0,12.0,16.0,10.0,12.0,13.0,11.0,19.0
fazant,9.0,10.0,13.0,11.0,20.0,14.0,12.0,11.0,12.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,14.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0
gier,14.0,9.0,10.0,10.0,14.0,20.0,10.0,13.0,12.0,9.0,15.0,15.0,9.0,18.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,12.0,12.0,17.0,9.0,9.0
haan,12.0,10.0,17.0,9.0,12.0,10.0,20.0,11.0,11.0,19.0,11.0,11.0,11.0,10.0,10.0,11.0,9.0,12.0,10.0,13.0,10.0,9.0,10.0,9.0,13.0,10.0,11.0,9.0,9.0,9.0
kalkoen,16.0,12.0,16.0,10.0,11.0,13.0,11.0,20.0,9.0,14.0,12.0,10.0,9.0,10.0,12.0,16.0,12.0,10.0,10.0,12.0,15.0,11.0,11.0,11.0,9.0,12.0,12.0,11.0,11.0,10.0
kanarie,9.0,14.0,11.0,11.0,12.0,12.0,11.0,9.0,20.0,12.0,12.0,10.0,10.0,9.0,16.0,16.0,9.0,17.0,14.0,11.0,11.0,15.0,11.0,12.0,12.0,9.0,11.0,9.0,9.0,9.0
kip,11.0,12.0,13.0,12.0,10.0,9.0,19.0,14.0,12.0,20.0,15.0,9.0,9.0,14.0,11.0,11.0,10.0,10.0,15.0,10.0,10.0,11.0,11.0,11.0,12.0,11.0,10.0,18.0,11.0,9.0
