exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,15.0,2.0,5.0,4.0,1.0,4.0,5.0,1.0,5.0,5.0,2.0,8.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,18.0,18.0,5.0,15.0,9.0,1.0,1.0,1.0
bloes,15.0,20.0,1.0,9.0,16.0,6.0,5.0,10.0,2.0,1.0,15.0,5.0,1.0,1.0,2.0,14.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,18.0,15.0,15.0,11.0,5.0,5.0
broek,2.0,1.0,20.0,8.0,10.0,1.0,9.0,20.0,19.0,6.0,10.0,1.0,1.0,6.0,18.0,1.0,15.0,15.0,1.0,19.0,1.0,5.0,15.0,9.0,5.0,11.0,9.0,9.0,1.0
das,5.0,9.0,8.0,20.0,5.0,9.0,2.0,5.0,1.0,1.0,18.0,5.0,2.0,15.0,2.0,9.0,1.0,1.0,1.0,5.0,10.0,5.0,1.0,1.0,9.0,5.0,6.0,1.0,1.0
hemd,4.0,16.0,10.0,5.0,20.0,5.0,10.0,1.0,5.0,9.0,16.0,5.0,5.0,1.0,15.0,9.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,16.0,9.0,14.0,5.0,1.0
hoed,1.0,6.0,1.0,9.0,5.0,20.0,10.0,10.0,1.0,5.0,15.0,5.0,20.0,20.0,2.0,16.0,9.0,9.0,1.0,9.0,14.0,5.0,15.0,2.0,1.0,1.0,1.0,10.0,1.0
jas,4.0,5.0,9.0,2.0,10.0,10.0,20.0,5.0,2.0,2.0,14.0,1.0,15.0,5.0,1.0,5.0,1.0,9.0,4.0,2.0,18.0,2.0,2.0,11.0,1.0,8.0,6.0,14.0,1.0
jeans,5.0,10.0,20.0,5.0,1.0,10.0,5.0,20.0,4.0,1.0,10.0,1.0,9.0,10.0,2.0,1.0,15.0,1.0,1.0,18.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0
jogging,1.0,2.0,19.0,1.0,5.0,1.0,2.0,4.0,20.0,1.0,1.0,1.0,9.0,14.0,11.0,1.0,1.0,2.0,15.0,18.0,14.0,1.0,14.0,14.0,16.0,17.0,14.0,1.0,14.0
kleed,5.0,1.0,6.0,1.0,9.0,5.0,2.0,1.0,1.0,20.0,18.0,1.0,1.0,1.0,1.0,1.0,18.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0
kostuum,5.0,15.0,10.0,18.0,16.0,15.0,14.0,10.0,1.0,18.0,20.0,5.0,2.0,2.0,2.0,14.0,6.0,10.0,5.0,10.0,2.0,5.0,9.0,5.0,2.0,5.0,1.0,1.0,1.0
laarzen,2.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,20.0,1.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,14.0,4.0,1.0,5.0,1.0,5.0,1.0
muts,8.0,1.0,1.0,2.0,5.0,20.0,15.0,9.0,9.0,1.0,2.0,1.0,20.0,20.0,1.0,1.0,5.0,9.0,1.0,1.0,14.0,9.0,1.0,5.0,4.0,1.0,5.0,15.0,20.0
pet,1.0,1.0,6.0,15.0,1.0,20.0,5.0,10.0,14.0,1.0,2.0,9.0,20.0,20.0,1.0,15.0,4.0,5.0,1.0,1.0,14.0,1.0,2.0,10.0,11.0,1.0,1.0,1.0,1.0
pyjama,5.0,2.0,18.0,2.0,15.0,2.0,1.0,2.0,11.0,1.0,2.0,2.0,1.0,1.0,20.0,2.0,1.0,14.0,1.0,14.0,1.0,1.0,9.0,2.0,11.0,10.0,8.0,1.0,1.0
riem,5.0,14.0,1.0,9.0,9.0,16.0,5.0,1.0,1.0,1.0,14.0,1.0,1.0,15.0,2.0,20.0,1.0,6.0,14.0,1.0,10.0,1.0,5.0,9.0,14.0,15.0,11.0,4.0,2.0
rok,1.0,5.0,15.0,1.0,1.0,9.0,1.0,15.0,1.0,18.0,6.0,1.0,5.0,4.0,1.0,1.0,20.0,11.0,1.0,15.0,9.0,1.0,5.0,1.0,1.0,9.0,1.0,5.0,2.0
salopet,1.0,3.0,15.0,1.0,5.0,9.0,9.0,1.0,2.0,5.0,10.0,2.0,9.0,5.0,14.0,6.0,11.0,20.0,5.0,15.0,15.0,2.0,5.0,7.0,9.0,5.0,1.0,9.0,1.0
schoenen,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,15.0,1.0,5.0,1.0,1.0,1.0,1.0,14.0,1.0,5.0,20.0,1.0,9.0,2.0,18.0,1.0,1.0,2.0,5.0,15.0,1.0
short,1.0,1.0,19.0,5.0,1.0,9.0,2.0,18.0,18.0,1.0,10.0,1.0,1.0,1.0,14.0,1.0,15.0,15.0,1.0,20.0,5.0,5.0,5.0,9.0,12.0,11.0,1.0,4.0,1.0
sjaal,5.0,1.0,1.0,10.0,5.0,14.0,18.0,2.0,14.0,5.0,2.0,8.0,14.0,14.0,1.0,10.0,9.0,15.0,9.0,5.0,20.0,2.0,9.0,9.0,1.0,5.0,9.0,11.0,15.0
slip,18.0,1.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,20.0,9.0,9.0,1.0,1.0,1.0,9.0,6.0
sokken,18.0,1.0,15.0,1.0,1.0,15.0,2.0,1.0,14.0,1.0,9.0,14.0,1.0,2.0,9.0,5.0,5.0,5.0,18.0,5.0,9.0,9.0,20.0,1.0,1.0,5.0,1.0,11.0,1.0
sweater,5.0,18.0,9.0,1.0,1.0,2.0,11.0,1.0,14.0,1.0,5.0,4.0,5.0,10.0,2.0,9.0,1.0,7.0,1.0,9.0,9.0,9.0,1.0,20.0,1.0,14.0,18.0,1.0,1.0
t-shirt,15.0,15.0,5.0,9.0,16.0,1.0,1.0,1.0,16.0,5.0,2.0,1.0,4.0,11.0,11.0,14.0,1.0,9.0,1.0,12.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,5.0,1.0
topje,9.0,15.0,11.0,5.0,9.0,1.0,8.0,5.0,17.0,5.0,5.0,5.0,1.0,1.0,10.0,15.0,9.0,5.0,2.0,11.0,5.0,1.0,5.0,14.0,1.0,20.0,9.0,1.0,14.0
trui,1.0,11.0,9.0,6.0,14.0,1.0,6.0,1.0,14.0,2.0,1.0,1.0,5.0,1.0,8.0,11.0,1.0,1.0,5.0,1.0,9.0,1.0,1.0,18.0,1.0,9.0,20.0,9.0,1.0
wanten,1.0,5.0,9.0,1.0,5.0,10.0,14.0,5.0,1.0,1.0,1.0,5.0,15.0,1.0,1.0,4.0,5.0,9.0,15.0,4.0,11.0,9.0,11.0,1.0,5.0,1.0,9.0,20.0,5.0
zwempak,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,15.0,6.0,1.0,1.0,1.0,14.0,1.0,5.0,20.0
