exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,1.0,0.284375,0.440625,0.50625,0.340625,0.478125,0.240625,0.42333333333333334,0.44333333333333336,0.2533333333333333,0.45999999999999996,0.42142857142857143,0.46785714285714286,0.43076923076923074,0.3576923076923077,0.43461538461538457,0.7928571428571429,0.33571428571428574,0.4928571428571429,0.45357142857142857,0.2928571428571428,0.43461538461538457,0.3538461538461538
dolfijn,0.284375,1.0,0.403125,0.325,0.55625,0.3375,0.315625,0.36333333333333334,0.4,0.6133333333333334,0.36666666666666664,0.26071428571428573,0.3,0.36153846153846153,0.5769230769230769,0.3384615384615385,0.3,0.4,0.39285714285714285,0.35,0.65,0.3923076923076923,0.49615384615384617
forel,0.440625,0.403125,1.0,0.396875,0.384375,0.63125,0.28125,0.6599999999999999,0.6066666666666667,0.4,0.6066666666666667,0.5321428571428571,0.5535714285714286,0.5153846153846154,0.4115384615384615,0.5076923076923077,0.5,0.625,0.5428571428571429,0.6035714285714285,0.30357142857142855,0.6384615384615385,0.4384615384615385
goudvis,0.50625,0.325,0.396875,1.0,0.296875,0.4125,0.284375,0.43,0.42666666666666664,0.3,0.36666666666666664,0.3607142857142857,0.42142857142857143,0.40384615384615385,0.3576923076923077,0.3153846153846154,0.5392857142857144,0.45357142857142857,0.48571428571428565,0.3464285714285714,0.35,0.41923076923076924,0.29230769230769227
haai,0.340625,0.55625,0.384375,0.296875,1.0,0.359375,0.3125,0.39666666666666667,0.3566666666666667,0.6799999999999999,0.2833333333333333,0.42857142857142855,0.30714285714285716,0.36923076923076925,0.5038461538461538,0.3923076923076923,0.30357142857142855,0.475,0.37857142857142856,0.35357142857142854,0.6035714285714285,0.38846153846153847,0.5653846153846154
haring,0.478125,0.3375,0.63125,0.4125,0.359375,1.0,0.34375,0.5733333333333334,0.5833333333333333,0.4,0.5266666666666666,0.37857142857142856,0.45357142857142857,0.4769230769230769,0.38076923076923075,0.5,0.6321428571428571,0.5464285714285715,0.5357142857142857,0.5178571428571429,0.33571428571428574,0.6423076923076924,0.38076923076923075
inktvis,0.240625,0.315625,0.28125,0.284375,0.3125,0.34375,1.0,0.2966666666666667,0.32333333333333336,0.32333333333333336,0.33999999999999997,0.32857142857142857,0.3821428571428572,0.40384615384615385,0.43461538461538457,0.3,0.3321428571428572,0.34285714285714286,0.30357142857142855,0.2928571428571428,0.37142857142857144,0.3,0.38076923076923075
kabeljauw,0.42333333333333334,0.36333333333333334,0.6599999999999999,0.43,0.39666666666666667,0.5733333333333334,0.2966666666666667,1.0,0.5599999999999999,0.32666666666666666,0.4633333333333334,0.42142857142857143,0.4607142857142857,0.5192307692307693,0.40384615384615385,0.4807692307692307,0.4142857142857143,0.5642857142857143,0.5535714285714286,0.5535714285714286,0.36428571428571427,0.6115384615384615,0.3961538461538462
karper,0.44333333333333336,0.4,0.6066666666666667,0.42666666666666664,0.3566666666666667,0.5833333333333333,0.32333333333333336,0.5599999999999999,1.0,0.35,0.47333333333333333,0.5321428571428571,0.3821428571428572,0.48461538461538456,0.4230769230769231,0.45384615384615384,0.45714285714285713,0.6785714285714286,0.6035714285714285,0.4428571428571429,0.33571428571428574,0.5615384615384615,0.4230769230769231
orka,0.2533333333333333,0.6133333333333334,0.4,0.3,0.6799999999999999,0.4,0.32333333333333336,0.32666666666666666,0.35,1.0,0.27,0.4035714285714286,0.34285714285714286,0.38846153846153847,0.6807692307692308,0.28076923076923077,0.26785714285714285,0.35357142857142854,0.35714285714285715,0.3142857142857143,0.8214285714285714,0.4230769230769231,0.573076923076923
paling,0.45999999999999996,0.36666666666666664,0.6066666666666667,0.36666666666666664,0.2833333333333333,0.5266666666666666,0.33999999999999997,0.4633333333333334,0.47333333333333333,0.27,1.0,0.34285714285714286,0.4428571428571429,0.43461538461538457,0.3,0.3961538461538462,0.4642857142857143,0.45,0.42857142857142855,0.45714285714285713,0.31785714285714284,0.48461538461538456,0.36538461538461536
piranha,0.42142857142857143,0.26071428571428573,0.5321428571428571,0.3607142857142857,0.42857142857142855,0.37857142857142856,0.32857142857142857,0.42142857142857143,0.5321428571428571,0.4035714285714286,0.34285714285714286,1.0,0.3142857142857143,0.38076923076923075,0.36153846153846153,0.36538461538461536,0.39285714285714285,0.42857142857142855,0.45714285714285713,0.3821428571428572,0.3892857142857143,0.3769230769230769,0.3730769230769231
pladijs,0.46785714285714286,0.3,0.5535714285714286,0.42142857142857143,0.30714285714285716,0.45357142857142857,0.3821428571428572,0.4607142857142857,0.3821428571428572,0.34285714285714286,0.4428571428571429,0.3142857142857143,1.0,0.7461538461538462,0.4,0.5692307692307692,0.4642857142857143,0.49642857142857144,0.40714285714285714,0.5964285714285714,0.3321428571428572,0.5038461538461538,0.3923076923076923
platvis,0.43076923076923074,0.36153846153846153,0.5153846153846154,0.40384615384615385,0.36923076923076925,0.4769230769230769,0.40384615384615385,0.5192307692307693,0.48461538461538456,0.38846153846153847,0.43461538461538457,0.38076923076923075,0.7461538461538462,1.0,0.4115384615384615,0.5375,0.43461538461538457,0.43461538461538457,0.4576923076923077,0.6692307692307693,0.4153846153846154,0.4653846153846154,0.43461538461538457
potvis,0.3576923076923077,0.5769230769230769,0.4115384615384615,0.3576923076923077,0.5038461538461538,0.38076923076923075,0.43461538461538457,0.40384615384615385,0.4230769230769231,0.6807692307692308,0.3,0.36153846153846153,0.4,0.4115384615384615,1.0,0.39166666666666666,0.3384615384615385,0.40384615384615385,0.4384615384615385,0.38461538461538464,0.7576923076923077,0.35,0.5115384615384615
rog,0.43461538461538457,0.3384615384615385,0.5076923076923077,0.3153846153846154,0.3923076923076923,0.5,0.3,0.4807692307692307,0.45384615384615384,0.28076923076923077,0.3961538461538462,0.36538461538461536,0.5692307692307692,0.5375,0.39166666666666666,1.0,0.4076923076923077,0.36923076923076925,0.4153846153846154,0.5115384615384615,0.4,0.5041666666666667,0.4
sardine,0.7928571428571429,0.3,0.5,0.5392857142857144,0.30357142857142855,0.6321428571428571,0.3321428571428572,0.4142857142857143,0.45714285714285713,0.26785714285714285,0.4642857142857143,0.39285714285714285,0.4642857142857143,0.43461538461538457,0.3384615384615385,0.4076923076923077,1.0,0.4107142857142857,0.3892857142857143,0.4321428571428571,0.24642857142857144,0.4576923076923077,0.34615384615384615
snoek,0.33571428571428574,0.4,0.625,0.45357142857142857,0.475,0.5464285714285715,0.34285714285714286,0.5642857142857143,0.6785714285714286,0.35357142857142854,0.45,0.42857142857142855,0.49642857142857144,0.43461538461538457,0.40384615384615385,0.36923076923076925,0.4107142857142857,1.0,0.5571428571428572,0.5142857142857143,0.375,0.4653846153846154,0.4884615384615385
stekelbaars,0.4928571428571429,0.39285714285714285,0.5428571428571429,0.48571428571428565,0.37857142857142856,0.5357142857142857,0.30357142857142855,0.5535714285714286,0.6035714285714285,0.35714285714285715,0.42857142857142855,0.45714285714285713,0.40714285714285714,0.4576923076923077,0.4384615384615385,0.4153846153846154,0.3892857142857143,0.5571428571428572,1.0,0.43571428571428567,0.36428571428571427,0.47307692307692306,0.4769230769230769
tong,0.45357142857142857,0.35,0.6035714285714285,0.3464285714285714,0.35357142857142854,0.5178571428571429,0.2928571428571428,0.5535714285714286,0.4428571428571429,0.3142857142857143,0.45714285714285713,0.3821428571428572,0.5964285714285714,0.6692307692307693,0.38461538461538464,0.5115384615384615,0.4321428571428571,0.5142857142857143,0.43571428571428567,1.0,0.3392857142857143,0.5461538461538462,0.40384615384615385
walvis,0.2928571428571428,0.65,0.30357142857142855,0.35,0.6035714285714285,0.33571428571428574,0.37142857142857144,0.36428571428571427,0.33571428571428574,0.8214285714285714,0.31785714285714284,0.3892857142857143,0.3321428571428572,0.4153846153846154,0.7576923076923077,0.4,0.24642857142857144,0.375,0.36428571428571427,0.3392857142857143,1.0,0.3730769230769231,0.5384615384615385
zalm,0.43461538461538457,0.3923076923076923,0.6384615384615385,0.41923076923076924,0.38846153846153847,0.6423076923076924,0.3,0.6115384615384615,0.5615384615384615,0.4230769230769231,0.48461538461538456,0.3769230769230769,0.5038461538461538,0.4653846153846154,0.35,0.5041666666666667,0.4576923076923077,0.4653846153846154,0.47307692307692306,0.5461538461538462,0.3730769230769231,1.0,0.36923076923076925
zwaardvis,0.3538461538461538,0.49615384615384617,0.4384615384615385,0.29230769230769227,0.5653846153846154,0.38076923076923075,0.38076923076923075,0.3961538461538462,0.4230769230769231,0.573076923076923,0.36538461538461536,0.3730769230769231,0.3923076923076923,0.43461538461538457,0.5115384615384615,0.4,0.34615384615384615,0.4884615384615385,0.4769230769230769,0.40384615384615385,0.5384615384615385,0.36923076923076925,1.0
