exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,11.0,11.0,10.0,9.0,12.0,10.0,9.0,9.0,5.0,12.0,14.0,8.0,7.0,14.0,7.0,14.0,9.0,11.0,9.0,11.0,7.0,10.0
dolfijn,11.0,20.0,10.0,9.0,16.0,8.0,9.0,14.0,9.0,17.0,11.0,8.0,11.0,9.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,8.0,13.0
forel,11.0,10.0,20.0,13.0,8.0,14.0,9.0,15.0,13.0,8.0,12.0,16.0,11.0,7.0,11.0,10.0,14.0,14.0,13.0,16.0,8.0,14.0,12.0
goudvis,10.0,9.0,13.0,20.0,11.0,10.0,8.0,13.0,11.0,8.0,11.0,7.0,11.0,10.0,13.0,9.0,8.0,10.0,8.0,5.0,15.0,12.0,9.0
haai,9.0,16.0,8.0,11.0,20.0,9.0,10.0,12.0,10.0,17.0,8.0,10.0,7.0,8.0,16.0,11.0,11.0,15.0,11.0,7.0,14.0,8.0,17.0
haring,12.0,8.0,14.0,10.0,9.0,20.0,10.0,9.0,11.0,11.0,16.0,7.0,12.0,7.0,10.0,12.0,15.0,16.0,9.0,13.0,9.0,12.0,8.0
inktvis,10.0,9.0,9.0,8.0,10.0,10.0,20.0,11.0,7.0,11.0,10.0,12.0,11.0,15.0,11.0,11.0,9.0,16.0,8.0,11.0,12.0,10.0,14.0
kabeljauw,9.0,14.0,15.0,13.0,12.0,9.0,11.0,20.0,11.0,11.0,9.0,10.0,15.0,9.0,9.0,11.0,11.0,12.0,16.0,17.0,13.0,13.0,9.0
karper,9.0,9.0,13.0,11.0,10.0,11.0,7.0,11.0,20.0,11.0,16.0,9.0,11.0,11.0,10.0,12.0,13.0,15.0,13.0,6.0,9.0,8.0,12.0
orka,5.0,17.0,8.0,8.0,17.0,11.0,11.0,11.0,11.0,20.0,8.0,9.0,9.0,10.0,13.0,10.0,10.0,10.0,11.0,5.0,15.0,9.0,17.0
paling,12.0,11.0,12.0,11.0,8.0,16.0,10.0,9.0,16.0,8.0,20.0,3.0,12.0,13.0,14.0,6.0,15.0,12.0,11.0,13.0,10.0,9.0,10.0
piranha,14.0,8.0,16.0,7.0,10.0,7.0,12.0,10.0,9.0,9.0,3.0,20.0,9.0,8.0,1.0,12.0,10.0,12.0,9.0,6.0,14.0,7.0,10.0
pladijs,8.0,11.0,11.0,11.0,7.0,12.0,11.0,15.0,11.0,9.0,12.0,9.0,20.0,13.0,13.0,13.0,14.0,12.0,7.0,12.0,13.0,14.0,11.0
platvis,7.0,9.0,7.0,10.0,8.0,7.0,15.0,9.0,11.0,10.0,13.0,8.0,13.0,20.0,17.0,14.0,8.0,9.0,10.0,15.0,15.0,17.0,10.0
potvis,14.0,12.0,11.0,13.0,16.0,10.0,11.0,9.0,10.0,13.0,14.0,1.0,13.0,17.0,20.0,11.0,9.0,9.0,11.0,8.0,18.0,7.0,12.0
rog,7.0,12.0,10.0,9.0,11.0,12.0,11.0,11.0,12.0,10.0,6.0,12.0,13.0,14.0,11.0,20.0,10.0,5.0,8.0,12.0,14.0,9.0,11.0
sardine,14.0,12.0,14.0,8.0,11.0,15.0,9.0,11.0,13.0,10.0,15.0,10.0,14.0,8.0,9.0,10.0,20.0,7.0,12.0,13.0,7.0,12.0,7.0
snoek,9.0,10.0,14.0,10.0,15.0,16.0,16.0,12.0,15.0,10.0,12.0,12.0,12.0,9.0,9.0,5.0,7.0,20.0,14.0,13.0,13.0,13.0,12.0
stekelbaars,11.0,10.0,13.0,8.0,11.0,9.0,8.0,16.0,13.0,11.0,11.0,9.0,7.0,10.0,11.0,8.0,12.0,14.0,20.0,11.0,10.0,13.0,12.0
tong,9.0,12.0,16.0,5.0,7.0,13.0,11.0,17.0,6.0,5.0,13.0,6.0,12.0,15.0,8.0,12.0,13.0,13.0,11.0,20.0,8.0,17.0,11.0
walvis,11.0,13.0,8.0,15.0,14.0,9.0,12.0,13.0,9.0,15.0,10.0,14.0,13.0,15.0,18.0,14.0,7.0,13.0,10.0,8.0,20.0,14.0,14.0
zalm,7.0,8.0,14.0,12.0,8.0,12.0,10.0,13.0,8.0,9.0,9.0,7.0,14.0,17.0,7.0,9.0,12.0,13.0,13.0,17.0,14.0,20.0,9.0
zwaardvis,10.0,13.0,12.0,9.0,17.0,8.0,14.0,9.0,12.0,17.0,10.0,10.0,11.0,10.0,12.0,11.0,7.0,12.0,12.0,11.0,14.0,9.0,20.0
