exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,14.0,5.0,2.0,11.0,2.0,18.0,18.0,11.0,2.0,2.0,15.0,17.0,15.0,12.0,2.0,9.0,14.0,2.0,2.0,11.0,2.0,11.0,1.0,2.0,1.0,2.0,14.0,2.0,11.0
aardbei,14.0,20.0,11.0,2.0,6.0,8.0,11.0,15.0,4.0,2.0,2.0,8.0,15.0,9.0,1.0,1.0,5.0,7.0,11.0,8.0,11.0,1.0,2.0,2.0,5.0,2.0,1.0,14.0,5.0,5.0
abrikoos,5.0,11.0,20.0,14.0,5.0,2.0,7.0,2.0,15.0,14.0,14.0,11.0,3.0,5.0,11.0,1.0,11.0,14.0,14.0,3.0,18.0,17.0,6.0,2.0,19.0,2.0,1.0,15.0,14.0,12.0
ananas,2.0,2.0,14.0,20.0,5.0,14.0,2.0,5.0,5.0,1.0,2.0,2.0,3.0,2.0,12.0,15.0,3.0,15.0,8.0,5.0,11.0,15.0,3.0,8.0,5.0,11.0,6.0,5.0,15.0,12.0
appel,11.0,6.0,5.0,5.0,20.0,5.0,5.0,8.0,2.0,5.0,14.0,2.0,5.0,5.0,14.0,1.0,12.0,3.0,12.0,11.0,11.0,12.0,2.0,18.0,11.0,2.0,2.0,11.0,8.0,2.0
banaan,2.0,8.0,2.0,14.0,5.0,20.0,2.0,2.0,11.0,2.0,2.0,6.0,1.0,2.0,12.0,1.0,11.0,2.0,5.0,15.0,2.0,4.0,2.0,5.0,14.0,4.0,1.0,1.0,2.0,2.0
bosbes,18.0,11.0,7.0,2.0,5.0,2.0,20.0,18.0,2.0,11.0,5.0,15.0,18.0,5.0,1.0,1.0,2.0,12.0,2.0,1.0,2.0,5.0,3.0,5.0,3.0,5.0,1.0,14.0,2.0,13.0
braambessen,18.0,15.0,2.0,5.0,8.0,2.0,18.0,20.0,2.0,5.0,11.0,15.0,17.0,14.0,2.0,5.0,5.0,2.0,2.0,2.0,12.0,2.0,12.0,2.0,1.0,5.0,1.0,14.0,3.0,4.0
citroen,11.0,4.0,15.0,5.0,2.0,11.0,2.0,2.0,20.0,18.0,5.0,5.0,9.0,2.0,2.0,2.0,18.0,9.0,12.0,11.0,15.0,6.0,15.0,11.0,10.0,15.0,11.0,9.0,17.0,1.0
clementine,2.0,2.0,14.0,1.0,5.0,2.0,11.0,5.0,18.0,20.0,5.0,5.0,2.0,2.0,2.0,1.0,14.0,15.0,14.0,2.0,14.0,14.0,1.0,5.0,12.0,2.0,8.0,12.0,18.0,1.0
dadels,2.0,2.0,14.0,2.0,14.0,2.0,5.0,11.0,5.0,5.0,20.0,17.0,2.0,14.0,7.0,1.0,8.0,14.0,11.0,10.0,5.0,1.0,3.0,5.0,12.0,5.0,1.0,14.0,10.0,15.0
druif,15.0,8.0,11.0,2.0,2.0,6.0,15.0,15.0,5.0,5.0,17.0,20.0,11.0,12.0,15.0,2.0,2.0,15.0,10.0,2.0,8.0,5.0,9.0,14.0,11.0,5.0,1.0,17.0,2.0,15.0
framboos,17.0,15.0,3.0,3.0,5.0,1.0,18.0,17.0,9.0,2.0,2.0,11.0,20.0,13.0,1.0,1.0,3.0,12.0,3.0,2.0,5.0,12.0,14.0,5.0,5.0,14.0,2.0,2.0,2.0,4.0
kers,15.0,9.0,5.0,2.0,5.0,2.0,5.0,14.0,2.0,2.0,14.0,12.0,13.0,20.0,5.0,1.0,2.0,12.0,2.0,5.0,4.0,14.0,15.0,14.0,12.0,1.0,2.0,12.0,15.0,14.0
kiwi,12.0,1.0,11.0,12.0,14.0,12.0,1.0,2.0,2.0,2.0,7.0,15.0,1.0,5.0,20.0,1.0,15.0,11.0,5.0,15.0,12.0,14.0,14.0,12.0,15.0,15.0,1.0,12.0,12.0,14.0
kokosnoot,2.0,1.0,1.0,15.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,20.0,12.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,2.0,2.0,1.0,7.0,2.0,1.0
limoen,9.0,5.0,11.0,3.0,12.0,11.0,2.0,5.0,18.0,14.0,8.0,2.0,3.0,2.0,15.0,12.0,20.0,12.0,11.0,6.0,18.0,14.0,12.0,14.0,5.0,1.0,2.0,14.0,15.0,5.0
lychee,14.0,7.0,14.0,15.0,3.0,2.0,12.0,2.0,9.0,15.0,14.0,15.0,12.0,12.0,11.0,1.0,12.0,20.0,13.0,12.0,12.0,2.0,15.0,2.0,5.0,12.0,1.0,12.0,12.0,11.0
mango,2.0,11.0,14.0,8.0,12.0,5.0,2.0,2.0,12.0,14.0,11.0,10.0,3.0,2.0,5.0,1.0,11.0,13.0,20.0,14.0,12.0,17.0,10.0,12.0,15.0,12.0,12.0,15.0,15.0,11.0
meloen,2.0,8.0,3.0,5.0,11.0,15.0,1.0,2.0,11.0,2.0,10.0,2.0,2.0,5.0,15.0,1.0,6.0,12.0,14.0,20.0,8.0,17.0,15.0,2.0,15.0,3.0,15.0,8.0,12.0,11.0
nectarine,11.0,11.0,18.0,11.0,11.0,2.0,2.0,12.0,15.0,14.0,5.0,8.0,5.0,4.0,12.0,1.0,18.0,12.0,12.0,8.0,20.0,11.0,15.0,14.0,18.0,12.0,12.0,15.0,18.0,5.0
papaya,2.0,1.0,17.0,15.0,12.0,4.0,5.0,2.0,6.0,14.0,1.0,5.0,12.0,14.0,14.0,11.0,14.0,2.0,17.0,17.0,11.0,20.0,14.0,14.0,18.0,8.0,1.0,11.0,15.0,2.0
passievrucht,11.0,2.0,6.0,3.0,2.0,2.0,3.0,12.0,15.0,1.0,3.0,9.0,14.0,15.0,14.0,2.0,12.0,15.0,10.0,15.0,15.0,14.0,20.0,2.0,13.0,11.0,1.0,2.0,12.0,12.0
peer,1.0,2.0,2.0,8.0,18.0,5.0,5.0,2.0,11.0,5.0,5.0,14.0,5.0,14.0,12.0,1.0,14.0,2.0,12.0,2.0,14.0,14.0,2.0,20.0,5.0,12.0,2.0,2.0,5.0,2.0
