exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,6.0,15.0,9.0,7.0,7.0,6.0,6.0,8.0,16.0,5.0,5.0,14.0,6.0,4.0,8.0,9.0,6.0,8.0,7.0,6.0,8.0,15.0,3.0,7.0,6.0,12.0,7.0,10.0,8.0,6.0,9.0,16.0
bord,6.0,20.0,4.0,10.0,4.0,7.0,5.0,4.0,11.0,10.0,5.0,15.0,9.0,15.0,5.0,14.0,4.0,3.0,15.0,6.0,14.0,4.0,5.0,7.0,2.0,8.0,13.0,7.0,7.0,5.0,10.0,14.0,15.0
broodrooster,15.0,4.0,20.0,4.0,13.0,2.0,5.0,7.0,15.0,6.0,17.0,1.0,5.0,4.0,17.0,18.0,2.0,8.0,14.0,9.0,5.0,5.0,2.0,5.0,9.0,5.0,4.0,5.0,4.0,13.0,3.0,10.0,4.0
fles,9.0,10.0,4.0,20.0,4.0,4.0,18.0,14.0,5.0,7.0,5.0,9.0,6.0,5.0,5.0,8.0,6.0,4.0,6.0,4.0,8.0,9.0,5.0,4.0,9.0,5.0,6.0,6.0,4.0,7.0,4.0,3.0,2.0
fornuis,7.0,4.0,13.0,4.0,20.0,16.0,6.0,3.0,18.0,6.0,15.0,3.0,4.0,4.0,17.0,9.0,9.0,6.0,10.0,14.0,8.0,6.0,17.0,3.0,6.0,3.0,6.0,2.0,5.0,11.0,5.0,16.0,4.0
frigo,7.0,7.0,2.0,4.0,16.0,20.0,8.0,13.0,4.0,5.0,17.0,14.0,5.0,4.0,8.0,17.0,6.0,5.0,5.0,2.0,1.0,6.0,8.0,2.0,5.0,5.0,8.0,9.0,4.0,6.0,8.0,6.0,2.0
glas,6.0,5.0,5.0,18.0,6.0,8.0,20.0,6.0,3.0,9.0,4.0,18.0,3.0,4.0,17.0,6.0,4.0,4.0,7.0,18.0,8.0,6.0,7.0,8.0,6.0,17.0,5.0,1.0,5.0,10.0,7.0,8.0,2.0
handdoek,6.0,4.0,7.0,14.0,3.0,13.0,6.0,20.0,15.0,3.0,7.0,9.0,7.0,5.0,5.0,5.0,7.0,4.0,6.0,9.0,4.0,8.0,10.0,7.0,6.0,8.0,2.0,13.0,9.0,6.0,2.0,2.0,4.0
ketel,8.0,11.0,15.0,5.0,18.0,4.0,3.0,15.0,20.0,8.0,18.0,5.0,4.0,5.0,17.0,5.0,1.0,6.0,11.0,17.0,18.0,10.0,3.0,5.0,5.0,8.0,5.0,5.0,3.0,5.0,4.0,13.0,8.0
klopper,16.0,10.0,6.0,7.0,6.0,5.0,9.0,3.0,8.0,20.0,6.0,16.0,16.0,3.0,8.0,17.0,10.0,9.0,6.0,8.0,7.0,16.0,16.0,12.0,18.0,7.0,5.0,9.0,18.0,5.0,3.0,8.0,18.0
