exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,7.0,11.0,9.0,7.0,6.0,8.0,11.0,7.0,8.0,9.0,9.0,9.0,9.0,5.0,8.0,6.0,9.0,6.0,7.0,7.0,12.0,8.0,8.0,11.0,8.0,4.0,8.0,9.0,10.0
bever,7.0,20.0,7.0,8.0,10.0,12.0,8.0,10.0,12.0,9.0,10.0,9.0,9.0,13.0,8.0,13.0,7.0,10.0,10.0,11.0,7.0,6.0,9.0,9.0,9.0,10.0,8.0,8.0,7.0,7.0
bizon,11.0,7.0,20.0,9.0,7.0,10.0,8.0,11.0,8.0,10.0,6.0,12.0,9.0,8.0,15.0,6.0,12.0,9.0,4.0,11.0,13.0,9.0,11.0,12.0,11.0,8.0,8.0,8.0,12.0,12.0
dromedaris,9.0,8.0,9.0,20.0,8.0,7.0,11.0,13.0,8.0,12.0,8.0,8.0,9.0,10.0,8.0,8.0,13.0,8.0,7.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,7.0,6.0,8.0,13.0
eekhoorn,7.0,10.0,7.0,8.0,20.0,13.0,8.0,5.0,14.0,6.0,8.0,7.0,7.0,11.0,9.0,14.0,6.0,7.0,12.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,12.0,9.0,7.0,9.0
egel,6.0,12.0,10.0,7.0,13.0,20.0,7.0,7.0,12.0,8.0,9.0,8.0,6.0,10.0,8.0,13.0,7.0,7.0,12.0,6.0,6.0,6.0,7.0,9.0,7.0,7.0,11.0,11.0,9.0,7.0
ezel,8.0,8.0,8.0,11.0,8.0,7.0,20.0,12.0,9.0,13.0,8.0,7.0,8.0,10.0,12.0,9.0,15.0,9.0,6.0,9.0,8.0,12.0,16.0,9.0,8.0,12.0,8.0,9.0,10.0,14.0
giraf,11.0,10.0,11.0,13.0,5.0,7.0,12.0,20.0,7.0,8.0,8.0,6.0,12.0,11.0,9.0,10.0,9.0,11.0,7.0,10.0,10.0,11.0,12.0,8.0,12.0,9.0,8.0,8.0,9.0,12.0
hamster,7.0,12.0,8.0,8.0,14.0,12.0,9.0,7.0,20.0,6.0,7.0,9.0,7.0,7.0,6.0,14.0,8.0,7.0,15.0,6.0,8.0,5.0,11.0,8.0,9.0,7.0,14.0,8.0,6.0,8.0
hert,8.0,9.0,10.0,12.0,6.0,8.0,13.0,8.0,6.0,20.0,11.0,8.0,11.0,8.0,12.0,9.0,13.0,8.0,9.0,9.0,7.0,8.0,14.0,9.0,13.0,8.0,7.0,12.0,12.0,12.0
hond,9.0,10.0,6.0,8.0,8.0,9.0,8.0,8.0,7.0,11.0,20.0,8.0,9.0,14.0,8.0,8.0,12.0,13.0,7.0,7.0,7.0,12.0,11.0,9.0,9.0,9.0,8.0,14.0,15.0,8.0
ijsbeer,9.0,9.0,12.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,8.0,20.0,10.0,7.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,7.0,8.0,12.0,8.0,8.0,7.0,8.0,9.0
kangoeroe,9.0,9.0,9.0,9.0,7.0,6.0,8.0,12.0,7.0,11.0,9.0,10.0,20.0,8.0,10.0,7.0,8.0,11.0,6.0,8.0,8.0,10.0,9.0,8.0,12.0,9.0,7.0,9.0,7.0,10.0
kat,9.0,13.0,8.0,10.0,11.0,10.0,10.0,11.0,7.0,8.0,14.0,7.0,8.0,20.0,7.0,8.0,11.0,14.0,8.0,8.0,7.0,6.0,11.0,11.0,16.0,8.0,9.0,9.0,9.0,8.0
koe,5.0,8.0,15.0,8.0,9.0,8.0,12.0,9.0,6.0,12.0,8.0,8.0,10.0,7.0,20.0,8.0,13.0,9.0,9.0,11.0,7.0,8.0,11.0,13.0,7.0,14.0,8.0,9.0,9.0,7.0
konijn,8.0,13.0,6.0,8.0,14.0,13.0,9.0,10.0,14.0,9.0,8.0,8.0,7.0,8.0,8.0,20.0,6.0,6.0,7.0,6.0,8.0,9.0,10.0,7.0,6.0,12.0,8.0,7.0,11.0,11.0
lama,6.0,7.0,12.0,13.0,6.0,7.0,15.0,9.0,8.0,13.0,12.0,7.0,8.0,11.0,13.0,6.0,20.0,12.0,7.0,10.0,8.0,6.0,13.0,14.0,12.0,9.0,6.0,8.0,10.0,13.0
leeuw,9.0,10.0,9.0,8.0,7.0,7.0,9.0,11.0,7.0,8.0,13.0,8.0,11.0,14.0,9.0,6.0,12.0,20.0,5.0,13.0,11.0,11.0,8.0,7.0,13.0,7.0,6.0,12.0,8.0,12.0
muis,6.0,10.0,4.0,7.0,12.0,12.0,6.0,7.0,15.0,9.0,7.0,6.0,6.0,8.0,9.0,7.0,7.0,5.0,20.0,5.0,6.0,5.0,8.0,7.0,7.0,9.0,14.0,5.0,6.0,7.0
