exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,4.0,6.0,5.0,6.0,7.0,13.0,4.0,6.0,,,,,,,,,,,,,,,,,,
banjo,4.0,20.0,16.0,5.0,7.0,7.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,
basgitaar,6.0,16.0,20.0,5.0,5.0,7.0,4.0,8.0,4.0,,,,,,,,,,,,,,,,,,
cello,5.0,5.0,5.0,20.0,6.0,5.0,5.0,5.0,8.0,,,,,,,,,,,,,,,,,,
cimbalen,6.0,7.0,5.0,6.0,20.0,5.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,
contrabas,7.0,7.0,7.0,5.0,5.0,20.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,
doedelzak,13.0,5.0,4.0,5.0,6.0,4.0,20.0,5.0,5.0,,,,,,,,,,,,,,,,,,
drumstel,4.0,5.0,8.0,5.0,6.0,5.0,5.0,20.0,3.0,,,,,,,,,,,,,,,,,,
dwarsfluit,6.0,4.0,4.0,8.0,4.0,4.0,5.0,3.0,20.0,,,,,,,,,,,,,,,,,,
fagot,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
fluit,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
gitaar,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
harp,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
klarinet,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
klavecimbel,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
mondharmonica,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
orgel,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
panfluit,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
piano,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
saxofoon,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
synthesizer,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
tamboerijn,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
triangel,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
trombone,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
trommel,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
trompet,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
viool,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
