exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,4.0,6.0,4.0,7.0,8.0,5.0,4.0,2.0,2.0,4.0,5.0,2.0,5.0,8.0,5.0,4.0,2.0,5.0,3.0,4.0,5.0,4.0,5.0,7.0,4.0,7.0,4.0,3.0,5.0
advocaat,4.0,20.0,5.0,3.0,3.0,4.0,10.0,9.0,4.0,9.0,9.0,4.0,3.0,4.0,3.0,2.0,4.0,11.0,6.0,5.0,9.0,4.0,5.0,10.0,9.0,4.0,6.0,7.0,3.0,4.0
apotheker,6.0,5.0,20.0,6.0,5.0,5.0,5.0,9.0,10.0,2.0,12.0,4.0,10.0,10.0,9.0,3.0,9.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,6.0,4.0,7.0,7.0,2.0,8.0
archeoloog,4.0,3.0,6.0,20.0,9.0,4.0,4.0,5.0,7.0,6.0,4.0,5.0,3.0,3.0,7.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,9.0,9.0,3.0,2.0,4.0,6.0,8.0,3.0
architect,7.0,3.0,5.0,9.0,20.0,2.0,5.0,4.0,4.0,9.0,9.0,7.0,3.0,6.0,4.0,5.0,5.0,9.0,2.0,5.0,3.0,5.0,7.0,8.0,2.0,2.0,5.0,2.0,3.0,4.0
bakker,8.0,4.0,5.0,4.0,2.0,20.0,5.0,3.0,4.0,4.0,2.0,7.0,4.0,14.0,5.0,8.0,10.0,5.0,8.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,4.0,4.0,6.0,9.0
boekhouder,5.0,10.0,5.0,4.0,5.0,5.0,20.0,5.0,2.0,8.0,9.0,10.0,2.0,3.0,5.0,3.0,3.0,9.0,4.0,4.0,4.0,2.0,7.0,4.0,11.0,4.0,5.0,5.0,3.0,3.0
brandweerman,4.0,9.0,9.0,5.0,4.0,3.0,5.0,20.0,8.0,4.0,10.0,8.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,12.0,3.0,10.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0
dierenarts,2.0,4.0,10.0,7.0,4.0,4.0,2.0,8.0,20.0,9.0,10.0,4.0,5.0,6.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,8.0,5.0,2.0,4.0,6.0,10.0,4.0,5.0
directeur,2.0,9.0,2.0,6.0,9.0,4.0,8.0,4.0,9.0,20.0,9.0,8.0,4.0,5.0,5.0,2.0,3.0,8.0,4.0,4.0,6.0,4.0,8.0,8.0,4.0,2.0,5.0,7.0,4.0,3.0
dokter,4.0,9.0,12.0,4.0,9.0,2.0,9.0,10.0,10.0,9.0,20.0,5.0,10.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,10.0,9.0,3.0,2.0,6.0,11.0,2.0,2.0
informaticus,5.0,4.0,4.0,5.0,7.0,7.0,10.0,8.0,4.0,8.0,5.0,20.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,9.0,5.0,4.0,2.0,8.0,4.0,2.0,9.0
kinesist,2.0,3.0,10.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,10.0,4.0,20.0,3.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,7.0,4.0,4.0,3.0,6.0,4.0,9.0,3.0,2.0
kok,5.0,4.0,10.0,3.0,6.0,14.0,3.0,5.0,6.0,5.0,4.0,6.0,3.0,20.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,6.0,3.0,5.0,9.0,4.0,3.0,4.0,6.0
leraar,8.0,3.0,9.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,20.0,6.0,4.0,3.0,18.0,4.0,10.0,5.0,8.0,4.0,6.0,2.0,3.0,3.0,4.0,5.0
loodgieter,5.0,2.0,3.0,4.0,5.0,8.0,3.0,5.0,4.0,2.0,5.0,5.0,6.0,4.0,6.0,20.0,6.0,4.0,4.0,2.0,7.0,5.0,2.0,4.0,2.0,5.0,3.0,5.0,5.0,6.0
marktkramer,4.0,4.0,9.0,3.0,5.0,10.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,20.0,9.0,7.0,3.0,4.0,10.0,2.0,3.0,4.0,6.0,8.0,3.0,6.0,15.0
minister,2.0,11.0,4.0,3.0,9.0,5.0,9.0,4.0,4.0,8.0,5.0,4.0,3.0,3.0,3.0,4.0,9.0,20.0,4.0,4.0,9.0,2.0,5.0,9.0,2.0,3.0,3.0,4.0,2.0,4.0
opvoedster,5.0,6.0,5.0,3.0,2.0,8.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,18.0,4.0,7.0,4.0,20.0,4.0,3.0,5.0,7.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0
piloot,3.0,5.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,20.0,4.0,2.0,5.0,3.0,2.0,3.0,10.0,3.0,3.0,3.0
politieagent,4.0,9.0,3.0,4.0,3.0,3.0,4.0,12.0,5.0,6.0,5.0,4.0,5.0,4.0,10.0,7.0,4.0,9.0,3.0,4.0,20.0,5.0,7.0,3.0,4.0,3.0,4.0,3.0,6.0,4.0
postbode,5.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,7.0,4.0,5.0,5.0,10.0,2.0,5.0,2.0,5.0,20.0,3.0,2.0,10.0,7.0,4.0,4.0,9.0,5.0
psycholoog,4.0,5.0,5.0,9.0,7.0,2.0,7.0,10.0,8.0,8.0,10.0,9.0,4.0,6.0,8.0,2.0,2.0,5.0,7.0,5.0,7.0,3.0,20.0,10.0,4.0,2.0,6.0,9.0,2.0,2.0
rechter,5.0,10.0,4.0,9.0,8.0,5.0,4.0,5.0,5.0,8.0,9.0,5.0,4.0,3.0,4.0,4.0,3.0,9.0,5.0,3.0,3.0,2.0,10.0,20.0,3.0,2.0,3.0,4.0,3.0,4.0
secretaresse,7.0,9.0,6.0,3.0,2.0,5.0,11.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,6.0,2.0,4.0,2.0,5.0,2.0,4.0,10.0,4.0,3.0,20.0,3.0,8.0,3.0,3.0,9.0
slager,4.0,4.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,6.0,9.0,2.0,5.0,6.0,3.0,4.0,3.0,3.0,7.0,2.0,2.0,3.0,20.0,2.0,2.0,3.0,9.0
stewardess,7.0,6.0,7.0,4.0,5.0,4.0,5.0,2.0,6.0,5.0,6.0,8.0,4.0,4.0,3.0,3.0,8.0,3.0,3.0,10.0,4.0,4.0,6.0,3.0,8.0,2.0,20.0,3.0,3.0,9.0
tandarts,4.0,7.0,7.0,6.0,2.0,4.0,5.0,4.0,10.0,7.0,11.0,4.0,9.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,9.0,4.0,3.0,2.0,3.0,20.0,4.0,5.0
vuilnisman,3.0,3.0,2.0,8.0,3.0,6.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,2.0,4.0,3.0,6.0,9.0,2.0,3.0,3.0,3.0,3.0,4.0,20.0,5.0
winkelbediende,5.0,4.0,8.0,3.0,4.0,9.0,3.0,3.0,5.0,3.0,2.0,9.0,2.0,6.0,5.0,6.0,15.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,9.0,9.0,9.0,5.0,5.0,20.0
