exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,8.0,8.0,6.0,6.0,9.0,8.0,10.0,8.0,5.0,5.0,9.0,6.0,4.0,11.0,11.0,5.0,12.0,6.0,6.0,13.0,12.0,7.0,4.0,8.0,11.0,5.0,5.0,6.0,6.0
ballet,8.0,20.0,6.0,2.0,8.0,6.0,6.0,3.0,7.0,3.0,3.0,3.0,4.0,6.0,6.0,3.0,7.0,5.0,3.0,5.0,3.0,6.0,18.0,4.0,5.0,3.0,5.0,3.0,3.0,6.0
baseball,8.0,6.0,20.0,14.0,8.0,12.0,1.0,15.0,11.0,4.0,10.0,6.0,6.0,12.0,6.0,6.0,3.0,2.0,5.0,7.0,6.0,18.0,4.0,8.0,9.0,6.0,4.0,8.0,7.0,6.0
basketbal,6.0,2.0,14.0,20.0,3.0,7.0,7.0,11.0,8.0,9.0,7.0,3.0,6.0,14.0,11.0,6.0,5.0,3.0,10.0,9.0,11.0,10.0,6.0,6.0,6.0,11.0,6.0,6.0,6.0,6.0
biljarten,6.0,8.0,8.0,3.0,20.0,9.0,13.0,5.0,4.0,6.0,3.0,17.0,6.0,3.0,13.0,6.0,9.0,3.0,6.0,7.0,9.0,6.0,5.0,7.0,6.0,6.0,6.0,9.0,6.0,4.0
boksen,9.0,6.0,12.0,7.0,9.0,20.0,6.0,16.0,6.0,13.0,14.0,3.0,5.0,9.0,7.0,6.0,4.0,3.0,5.0,6.0,9.0,11.0,3.0,7.0,10.0,5.0,7.0,10.0,5.0,5.0
golf,8.0,6.0,1.0,7.0,13.0,6.0,20.0,6.0,3.0,11.0,6.0,6.0,2.0,9.0,10.0,4.0,5.0,3.0,14.0,5.0,6.0,16.0,4.0,9.0,8.0,5.0,5.0,3.0,9.0,6.0
handbal,10.0,3.0,15.0,11.0,5.0,16.0,6.0,20.0,7.0,6.0,6.0,6.0,3.0,14.0,11.0,6.0,6.0,3.0,10.0,3.0,5.0,3.0,8.0,9.0,11.0,13.0,3.0,6.0,3.0,6.0
hardlopen,8.0,7.0,11.0,8.0,4.0,6.0,3.0,7.0,20.0,8.0,8.0,6.0,5.0,6.0,6.0,7.0,3.0,6.0,8.0,6.0,4.0,8.0,8.0,12.0,10.0,6.0,18.0,4.0,6.0,8.0
ijshockey,5.0,3.0,4.0,9.0,6.0,13.0,11.0,6.0,8.0,20.0,10.0,4.0,9.0,15.0,5.0,10.0,13.0,6.0,9.0,7.0,6.0,6.0,6.0,5.0,11.0,10.0,3.0,5.0,6.0,5.0
judo,5.0,3.0,10.0,7.0,3.0,14.0,6.0,6.0,8.0,10.0,20.0,3.0,3.0,11.0,11.0,5.0,11.0,6.0,12.0,3.0,4.0,12.0,5.0,9.0,3.0,8.0,6.0,5.0,6.0,5.0
kogelstoten,9.0,3.0,6.0,3.0,17.0,3.0,6.0,6.0,6.0,4.0,3.0,20.0,7.0,9.0,3.0,6.0,7.0,3.0,11.0,2.0,6.0,7.0,3.0,7.0,6.0,6.0,3.0,6.0,8.0,3.0
paardrijden,6.0,4.0,6.0,6.0,6.0,5.0,2.0,3.0,5.0,9.0,3.0,7.0,20.0,5.0,4.0,3.0,3.0,3.0,5.0,6.0,2.0,3.0,5.0,6.0,3.0,6.0,6.0,5.0,3.0,3.0
rugby,4.0,6.0,12.0,14.0,3.0,9.0,9.0,14.0,6.0,15.0,11.0,9.0,5.0,20.0,6.0,7.0,7.0,3.0,11.0,6.0,9.0,10.0,4.0,6.0,13.0,11.0,5.0,6.0,5.0,9.0
schaken,11.0,6.0,6.0,11.0,13.0,7.0,10.0,11.0,6.0,5.0,11.0,3.0,4.0,6.0,20.0,3.0,3.0,3.0,11.0,3.0,6.0,5.0,5.0,3.0,12.0,6.0,6.0,2.0,6.0,6.0
schermen,11.0,3.0,6.0,6.0,6.0,6.0,4.0,6.0,7.0,10.0,5.0,6.0,3.0,7.0,3.0,20.0,5.0,2.0,5.0,5.0,6.0,3.0,3.0,3.0,6.0,6.0,6.0,3.0,6.0,6.0
skiën,5.0,7.0,3.0,5.0,9.0,4.0,5.0,6.0,3.0,13.0,11.0,7.0,3.0,7.0,3.0,5.0,20.0,3.0,8.0,8.0,6.0,6.0,9.0,5.0,6.0,7.0,9.0,6.0,9.0,11.0
sportvissen,12.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,20.0,6.0,5.0,3.0,7.0,5.0,5.0,5.0,6.0,3.0,3.0,9.0,5.0
