exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
beitel,13.0,20.0,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
bijl,1.0,10.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
boormachine,1.0,13.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
breekijzer,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
engelse sleutel,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
grasmachine,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
hamer,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
houtklem,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
houweel,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
koevoet,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
kruiwagen,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
mes,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
moersleutel,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
oliespuit,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
plamuurmes,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
ploeg,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
schaaf,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
schop,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
schroevendraaier,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
slijpschijf,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
spijker,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
staalborstel,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
stofzuiger,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
tang,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
touw,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
verfborstel,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
vijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
waterpas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
zaag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
