exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,15.0,8.0,9.0,8.0,9.0,3.0,15.0,13.0,6.0,13.0,12.0,6.0,11.0,6.0,8.0,11.0,14.0,12.0,4.0,7.0,15.0,12.0,6.0,7.0,5.0,4.0,9.0,11.0,6.0
ajuin,15.0,20.0,7.0,12.0,11.0,5.0,8.0,8.0,12.0,6.0,11.0,14.0,4.0,16.0,9.0,8.0,17.0,5.0,7.0,7.0,16.0,15.0,7.0,8.0,8.0,7.0,7.0,6.0,11.0,12.0
asperges,8.0,7.0,20.0,15.0,13.0,10.0,7.0,12.0,10.0,11.0,15.0,12.0,6.0,11.0,13.0,12.0,7.0,15.0,11.0,7.0,5.0,11.0,9.0,4.0,18.0,9.0,6.0,8.0,13.0,6.0
aubergine,9.0,12.0,15.0,20.0,8.0,5.0,5.0,12.0,7.0,11.0,14.0,15.0,9.0,12.0,8.0,11.0,8.0,5.0,9.0,8.0,16.0,9.0,12.0,11.0,13.0,13.0,16.0,7.0,14.0,8.0
augurken,8.0,11.0,13.0,8.0,20.0,6.0,5.0,12.0,8.0,11.0,16.0,16.0,13.0,6.0,5.0,12.0,14.0,12.0,6.0,5.0,11.0,11.0,11.0,7.0,10.0,9.0,4.0,6.0,13.0,11.0
biet,9.0,5.0,10.0,5.0,6.0,20.0,13.0,4.0,6.0,7.0,5.0,6.0,5.0,5.0,17.0,14.0,6.0,9.0,7.0,16.0,9.0,6.0,13.0,3.0,3.0,6.0,17.0,15.0,8.0,9.0
bloemkool,3.0,8.0,7.0,5.0,5.0,13.0,20.0,12.0,6.0,8.0,4.0,10.0,6.0,5.0,5.0,14.0,4.0,4.0,6.0,4.0,4.0,7.0,12.0,6.0,5.0,6.0,6.0,6.0,11.0,9.0
bonen,15.0,8.0,12.0,12.0,12.0,4.0,12.0,20.0,8.0,9.0,9.0,12.0,8.0,7.0,6.0,11.0,6.0,12.0,7.0,9.0,6.0,10.0,16.0,13.0,5.0,13.0,6.0,5.0,11.0,6.0
champignons,13.0,12.0,10.0,7.0,8.0,6.0,6.0,8.0,20.0,6.0,9.0,12.0,5.0,16.0,8.0,8.0,9.0,9.0,6.0,8.0,10.0,13.0,11.0,14.0,12.0,12.0,8.0,7.0,12.0,6.0
courgette,6.0,6.0,11.0,11.0,11.0,7.0,8.0,9.0,6.0,20.0,14.0,12.0,15.0,5.0,5.0,5.0,14.0,16.0,6.0,5.0,8.0,6.0,6.0,4.0,11.0,7.0,3.0,6.0,7.0,5.0
erwten,13.0,11.0,15.0,14.0,16.0,5.0,4.0,9.0,9.0,14.0,20.0,17.0,13.0,7.0,6.0,5.0,14.0,14.0,9.0,6.0,6.0,13.0,6.0,6.0,13.0,9.0,5.0,10.0,14.0,7.0
kervel,12.0,14.0,12.0,15.0,16.0,6.0,10.0,12.0,12.0,12.0,17.0,20.0,4.0,6.0,12.0,8.0,9.0,11.0,5.0,5.0,13.0,14.0,13.0,6.0,6.0,11.0,5.0,11.0,12.0,13.0
komkommer,6.0,4.0,6.0,9.0,13.0,5.0,6.0,8.0,5.0,15.0,13.0,4.0,20.0,4.0,6.0,7.0,9.0,17.0,8.0,4.0,9.0,10.0,7.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0
look,11.0,16.0,11.0,12.0,6.0,5.0,5.0,7.0,16.0,5.0,7.0,6.0,4.0,20.0,4.0,6.0,10.0,7.0,5.0,5.0,13.0,7.0,13.0,18.0,13.0,13.0,17.0,9.0,16.0,6.0
maïs,6.0,9.0,13.0,8.0,5.0,17.0,5.0,6.0,8.0,5.0,6.0,12.0,6.0,4.0,20.0,7.0,14.0,10.0,7.0,17.0,12.0,10.0,8.0,5.0,8.0,16.0,14.0,13.0,5.0,11.0
paprika,8.0,8.0,12.0,11.0,12.0,14.0,14.0,11.0,8.0,5.0,5.0,8.0,7.0,6.0,7.0,20.0,3.0,13.0,6.0,7.0,8.0,12.0,8.0,6.0,11.0,6.0,9.0,7.0,6.0,11.0
peterselie,11.0,17.0,7.0,8.0,14.0,6.0,4.0,6.0,9.0,14.0,14.0,9.0,9.0,10.0,14.0,3.0,20.0,9.0,8.0,2.0,12.0,13.0,3.0,4.0,12.0,5.0,9.0,6.0,12.0,6.0
prei,14.0,5.0,15.0,5.0,12.0,9.0,4.0,12.0,9.0,16.0,14.0,11.0,17.0,7.0,10.0,13.0,9.0,20.0,9.0,8.0,7.0,12.0,14.0,7.0,10.0,9.0,8.0,6.0,4.0,7.0
radijs,12.0,7.0,11.0,9.0,6.0,7.0,6.0,7.0,6.0,6.0,9.0,5.0,8.0,5.0,7.0,6.0,8.0,9.0,20.0,5.0,13.0,7.0,9.0,4.0,6.0,13.0,8.0,9.0,5.0,14.0
rode kool,4.0,7.0,7.0,8.0,5.0,16.0,4.0,9.0,8.0,5.0,6.0,5.0,4.0,5.0,17.0,7.0,2.0,8.0,5.0,20.0,12.0,5.0,6.0,4.0,4.0,4.0,13.0,14.0,6.0,4.0
schorseneren,7.0,16.0,5.0,16.0,11.0,9.0,4.0,6.0,10.0,8.0,6.0,13.0,9.0,13.0,12.0,8.0,12.0,7.0,13.0,12.0,20.0,12.0,6.0,5.0,13.0,16.0,12.0,12.0,14.0,12.0
selder,15.0,15.0,11.0,9.0,11.0,6.0,7.0,10.0,13.0,6.0,13.0,14.0,10.0,7.0,10.0,12.0,13.0,12.0,7.0,5.0,12.0,20.0,17.0,5.0,12.0,12.0,7.0,7.0,13.0,7.0
sla,12.0,7.0,9.0,12.0,11.0,13.0,12.0,16.0,11.0,6.0,6.0,13.0,7.0,13.0,8.0,8.0,3.0,14.0,9.0,6.0,6.0,17.0,20.0,4.0,8.0,7.0,15.0,7.0,8.0,9.0
spinazie,6.0,8.0,4.0,11.0,7.0,3.0,6.0,13.0,14.0,4.0,6.0,6.0,5.0,18.0,5.0,6.0,4.0,7.0,4.0,4.0,5.0,5.0,4.0,20.0,6.0,6.0,14.0,7.0,13.0,4.0
spruiten,7.0,8.0,18.0,13.0,10.0,3.0,5.0,5.0,12.0,11.0,13.0,6.0,6.0,13.0,8.0,11.0,12.0,10.0,6.0,4.0,13.0,12.0,8.0,6.0,20.0,7.0,5.0,10.0,11.0,6.0
tomaat,5.0,7.0,9.0,13.0,9.0,6.0,6.0,13.0,12.0,7.0,9.0,11.0,6.0,13.0,16.0,6.0,5.0,9.0,13.0,4.0,16.0,12.0,7.0,6.0,7.0,20.0,5.0,6.0,12.0,8.0
waterkers,4.0,7.0,6.0,16.0,4.0,17.0,6.0,6.0,8.0,3.0,5.0,5.0,5.0,17.0,14.0,9.0,9.0,8.0,8.0,13.0,12.0,7.0,15.0,14.0,5.0,5.0,20.0,19.0,8.0,12.0
