exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,1.0,0.45625,0.309375,0.38666666666666666,0.33999999999999997,0.49333333333333335,0.37666666666666665,0.36,0.32333333333333336,0.3466666666666667,0.3,0.27142857142857146,0.3464285714285714,0.31785714285714284,0.3678571428571428,0.37142857142857144,0.2785714285714286,0.35357142857142854,0.39,0.33571428571428574,0.3730769230769231,0.36538461538461536,0.3269230769230769,0.2653846153846154,0.3384615384615385,0.3730769230769231,0.2692307692307693,0.36538461538461536,0.4041666666666667,0.38461538461538464
ajuin,0.45625,1.0,0.275,0.31666666666666665,0.35333333333333333,0.41,0.3433333333333333,0.3,0.31666666666666665,0.36333333333333334,0.30333333333333334,0.30357142857142855,0.31785714285714284,0.6285714285714286,0.3107142857142857,0.3607142857142857,0.3678571428571428,0.4107142857142857,0.3466666666666667,0.30357142857142855,0.3576923076923077,0.49230769230769234,0.31153846153846154,0.28846153846153844,0.36923076923076925,0.38076923076923075,0.3384615384615385,0.4269230769230769,0.375,0.36923076923076925
asperges,0.309375,0.275,1.0,0.41,0.3566666666666667,0.38333333333333336,0.33999999999999997,0.42666666666666664,0.32999999999999996,0.4,0.33999999999999997,0.35714285714285715,0.39642857142857146,0.32142857142857145,0.3321428571428572,0.28928571428571426,0.36428571428571427,0.5071428571428571,0.35333333333333333,0.2571428571428572,0.5961538461538461,0.43076923076923074,0.3,0.28076923076923077,0.48461538461538456,0.29615384615384616,0.29615384615384616,0.4461538461538462,0.4291666666666667,0.49615384615384617
aubergine,0.38666666666666666,0.31666666666666665,0.41,1.0,0.42000000000000004,0.45999999999999996,0.2833333333333333,0.4066666666666666,0.24,0.5733333333333334,0.2733333333333333,0.33571428571428574,0.575,0.35714285714285715,0.3107142857142857,0.4821428571428571,0.26071428571428573,0.38571428571428573,0.3566666666666667,0.3821428571428572,0.3923076923076923,0.3384615384615385,0.3538461538461538,0.3269230769230769,0.38076923076923075,0.3730769230769231,0.2846153846153846,0.33461538461538465,0.39166666666666666,0.35
augurken,0.33999999999999997,0.35333333333333333,0.3566666666666667,0.42000000000000004,1.0,0.33999999999999997,0.32,0.45666666666666667,0.29333333333333333,0.53,0.4066666666666666,0.42857142857142855,0.6071428571428571,0.28928571428571426,0.36428571428571427,0.4107142857142857,0.33571428571428574,0.3464285714285714,0.39,0.36428571428571427,0.46923076923076923,0.3538461538461538,0.36923076923076925,0.3769230769230769,0.4807692307692307,0.3538461538461538,0.3,0.35,0.4041666666666667,0.4269230769230769
biet,0.49333333333333335,0.41,0.38333333333333336,0.45999999999999996,0.33999999999999997,1.0,0.4,0.3466666666666667,0.2833333333333333,0.41,0.31,0.32142857142857145,0.3464285714285714,0.3392857142857143,0.4892857142857143,0.42857142857142855,0.35,0.4,0.5766666666666667,0.5464285714285715,0.4115384615384615,0.3769230769230769,0.3384615384615385,0.3076923076923077,0.3538461538461538,0.38461538461538464,0.3576923076923077,0.40384615384615385,0.4958333333333333,0.5076923076923077
bloemkool,0.37666666666666665,0.3433333333333333,0.33999999999999997,0.2833333333333333,0.32,0.4,1.0,0.35,0.2866666666666667,0.3,0.32,0.3392857142857143,0.31785714285714284,0.25357142857142856,0.35357142857142854,0.35,0.26071428571428573,0.375,0.38333333333333336,0.575,0.38076923076923075,0.3538461538461538,0.4384615384615385,0.34615384615384615,0.43076923076923074,0.28846153846153844,0.2692307692307693,0.4076923076923077,0.6666666666666667,0.3384615384615385
bonen,0.36,0.3,0.42666666666666664,0.4066666666666666,0.45666666666666667,0.3466666666666667,0.35,1.0,0.37333333333333335,0.42000000000000004,0.54,0.29642857142857143,0.4321428571428571,0.35,0.39642857142857146,0.37857142857142856,0.30714285714285716,0.38571428571428573,0.32,0.32142857142857145,0.4153846153846154,0.3538461538461538,0.3961538461538462,0.4653846153846154,0.4230769230769231,0.3961538461538462,0.29230769230769227,0.3076923076923077,0.375,0.3961538461538462
champignons,0.32333333333333336,0.31666666666666665,0.32999999999999996,0.24,0.29333333333333333,0.2833333333333333,0.2866666666666667,0.37333333333333335,1.0,0.24666666666666667,0.30333333333333334,0.30357142857142855,0.2642857142857143,0.425,0.3107142857142857,0.30714285714285716,0.275,0.275,0.4,0.2571428571428572,0.34615384615384615,0.3153846153846154,0.28076923076923077,0.38461538461538464,0.38076923076923075,0.4076923076923077,0.29615384615384616,0.33461538461538465,0.4083333333333333,0.3076923076923077
courgette,0.3466666666666667,0.36333333333333334,0.4,0.5733333333333334,0.53,0.41,0.3,0.42000000000000004,0.24666666666666667,1.0,0.3566666666666667,0.37142857142857144,0.7071428571428571,0.3107142857142857,0.32142857142857145,0.42142857142857143,0.34285714285714286,0.4821428571428571,0.3466666666666667,0.35714285714285715,0.4230769230769231,0.41923076923076924,0.3423076923076923,0.3076923076923077,0.3961538461538462,0.4,0.3730769230769231,0.4461538461538462,0.32916666666666666,0.3730769230769231
erwten,0.3,0.30333333333333334,0.33999999999999997,0.2733333333333333,0.4066666666666666,0.31,0.32,0.54,0.30333333333333334,0.3566666666666667,1.0,0.43928571428571433,0.4142857142857143,0.275,0.6035714285714285,0.2571428571428572,0.3392857142857143,0.375,0.3433333333333333,0.28214285714285714,0.3230769230769231,0.3269230769230769,0.36153846153846153,0.38461538461538464,0.5653846153846154,0.33076923076923076,0.38846153846153847,0.3384615384615385,0.35833333333333334,0.41923076923076924
