exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,8.0,10.0,5.0,8.0,9.0,8.0,3.0,8.0,9.0,8.0,11.0,7.0,18.0,15.0,10.0,7.0,3.0,15.0,8.0,7.0,4.0,4.0,15.0,9.0,5.0,8.0,7.0,13.0,4.0
boot,8.0,20.0,7.0,5.0,4.0,8.0,8.0,7.0,14.0,7.0,4.0,6.0,18.0,5.0,5.0,7.0,6.0,5.0,4.0,5.0,7.0,7.0,7.0,5.0,7.0,1.0,8.0,10.0,2.0,10.0
bromfiets,10.0,7.0,20.0,15.0,6.0,7.0,14.0,7.0,7.0,17.0,11.0,6.0,4.0,7.0,8.0,7.0,3.0,7.0,17.0,5.0,2.0,4.0,8.0,6.0,8.0,9.0,6.0,2.0,6.0,5.0
brommer,5.0,5.0,15.0,20.0,9.0,7.0,4.0,7.0,6.0,14.0,10.0,9.0,5.0,4.0,9.0,4.0,5.0,6.0,17.0,6.0,8.0,7.0,4.0,8.0,8.0,7.0,10.0,4.0,8.0,2.0
bus,8.0,4.0,6.0,9.0,20.0,10.0,5.0,11.0,9.0,6.0,2.0,7.0,7.0,4.0,7.0,7.0,7.0,12.0,4.0,7.0,6.0,8.0,7.0,9.0,8.0,17.0,12.0,9.0,8.0,7.0
camion,9.0,8.0,7.0,7.0,10.0,20.0,18.0,6.0,5.0,5.0,8.0,6.0,7.0,6.0,10.0,5.0,4.0,9.0,8.0,2.0,6.0,6.0,1.0,8.0,8.0,6.0,9.0,7.0,17.0,7.0
camionette,8.0,8.0,14.0,4.0,5.0,18.0,20.0,6.0,4.0,2.0,5.0,6.0,4.0,10.0,12.0,7.0,4.0,8.0,5.0,5.0,7.0,4.0,5.0,8.0,9.0,4.0,10.0,9.0,18.0,6.0
caravan,3.0,7.0,7.0,7.0,11.0,6.0,6.0,20.0,8.0,2.0,8.0,8.0,4.0,8.0,8.0,4.0,8.0,8.0,4.0,5.0,5.0,13.0,5.0,9.0,6.0,7.0,7.0,1.0,7.0,8.0
duikboot,8.0,14.0,7.0,6.0,9.0,5.0,4.0,8.0,20.0,4.0,3.0,13.0,13.0,2.0,4.0,7.0,15.0,11.0,4.0,15.0,4.0,5.0,7.0,1.0,4.0,5.0,5.0,14.0,2.0,11.0
fiets,9.0,7.0,17.0,14.0,6.0,5.0,2.0,2.0,4.0,20.0,13.0,9.0,2.0,4.0,10.0,9.0,4.0,6.0,15.0,8.0,12.0,7.0,13.0,6.0,8.0,9.0,8.0,7.0,4.0,5.0
gocart,8.0,4.0,11.0,10.0,2.0,8.0,5.0,8.0,3.0,13.0,20.0,1.0,4.0,9.0,9.0,6.0,4.0,7.0,8.0,9.0,12.0,9.0,9.0,4.0,9.0,6.0,7.0,6.0,4.0,6.0
helikopter,11.0,6.0,6.0,9.0,7.0,6.0,6.0,8.0,13.0,9.0,1.0,20.0,8.0,4.0,5.0,6.0,17.0,1.0,10.0,10.0,4.0,3.0,8.0,4.0,8.0,6.0,6.0,18.0,4.0,5.0
hovercraft,7.0,18.0,4.0,5.0,7.0,7.0,4.0,4.0,13.0,2.0,4.0,8.0,20.0,10.0,6.0,9.0,15.0,4.0,8.0,15.0,7.0,8.0,4.0,9.0,6.0,7.0,7.0,11.0,7.0,16.0
jeep,18.0,5.0,7.0,4.0,4.0,6.0,10.0,8.0,2.0,4.0,9.0,4.0,10.0,20.0,9.0,9.0,2.0,6.0,6.0,4.0,4.0,5.0,4.0,6.0,13.0,3.0,3.0,7.0,10.0,2.0
