exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,1.0,0.32999999999999996,0.4766666666666667,0.44333333333333336,0.6033333333333333,0.6266666666666667,0.7033333333333334,0.48666666666666664,0.31666666666666665,0.3933333333333333,0.5533333333333333,0.31333333333333335,0.30357142857142855,0.8607142857142858,0.5321428571428571,0.5392857142857144,0.2642857142857143,0.3678571428571428,0.5035714285714286,0.27142857142857146,0.3142857142857143,0.4,0.3321428571428572,0.9035714285714287,0.5142857142857143,0.39285714285714285,0.425,0.3678571428571428,0.6642857142857144,0.30714285714285716
boot,0.32999999999999996,1.0,0.2633333333333333,0.2866666666666667,0.4133333333333334,0.4033333333333333,0.32333333333333336,0.4,0.6866666666666666,0.27666666666666667,0.22333333333333333,0.2533333333333333,0.7821428571428571,0.32857142857142857,0.32142857142857145,0.35,0.325,0.3107142857142857,0.26071428571428573,0.28214285714285714,0.26071428571428573,0.25357142857142856,0.23928571428571427,0.30357142857142855,0.2857142857142857,0.2857142857142857,0.38571428571428573,0.375,0.37142857142857144,0.39642857142857146
bromfiets,0.4766666666666667,0.2633333333333333,1.0,0.9266666666666667,0.38333333333333336,0.36333333333333334,0.42000000000000004,0.31,0.24333333333333332,0.7033333333333334,0.49000000000000005,0.2833333333333333,0.2357142857142857,0.4321428571428571,0.35,0.32857142857142857,0.275,0.30714285714285716,0.8535714285714286,0.24285714285714283,0.3321428571428572,0.2857142857142857,0.45,0.3892857142857143,0.37142857142857144,0.3464285714285714,0.28928571428571426,0.2642857142857143,0.32857142857142857,0.2785714285714286
brommer,0.44333333333333336,0.2866666666666667,0.9266666666666667,1.0,0.3933333333333333,0.38,0.36,0.29333333333333333,0.22999999999999998,0.7133333333333334,0.4166666666666667,0.2866666666666667,0.28214285714285714,0.39642857142857146,0.36428571428571427,0.35357142857142854,0.275,0.29642857142857143,0.8928571428571429,0.2642857142857143,0.37142857142857144,0.2928571428571428,0.4607142857142857,0.39285714285714285,0.425,0.37857142857142856,0.33571428571428574,0.3107142857142857,0.33571428571428574,0.2357142857142857
bus,0.6033333333333333,0.4133333333333334,0.38333333333333336,0.3933333333333333,1.0,0.6866666666666666,0.63,0.54,0.2833333333333333,0.35,0.3566666666666667,0.32333333333333336,0.36428571428571427,0.5,0.3678571428571428,0.47857142857142854,0.2785714285714286,0.5928571428571429,0.38571428571428573,0.3321428571428572,0.275,0.29642857142857143,0.3142857142857143,0.575,0.45714285714285713,0.7142857142857143,0.6392857142857143,0.48571428571428565,0.6428571428571429,0.375
camion,0.6266666666666667,0.4033333333333333,0.36333333333333334,0.38,0.6866666666666666,1.0,0.8300000000000001,0.5700000000000001,0.33666666666666667,0.2866666666666667,0.32999999999999996,0.27999999999999997,0.37142857142857144,0.6178571428571429,0.43928571428571433,0.45,0.30357142857142855,0.43571428571428567,0.37142857142857144,0.275,0.26071428571428573,0.2785714285714286,0.25357142857142856,0.5,0.5571428571428572,0.44642857142857145,0.4607142857142857,0.36428571428571427,0.9464285714285714,0.3321428571428572
camionette,0.7033333333333334,0.32333333333333336,0.42000000000000004,0.36,0.63,0.8300000000000001,1.0,0.5599999999999999,0.27666666666666667,0.2966666666666667,0.38333333333333336,0.2866666666666667,0.25357142857142856,0.6142857142857143,0.4642857142857143,0.46785714285714286,0.2857142857142857,0.3821428571428572,0.34285714285714286,0.24285714285714283,0.25,0.24642857142857144,0.275,0.5821428571428571,0.5142857142857143,0.43571428571428567,0.44642857142857145,0.3464285714285714,0.7857142857142857,0.2857142857142857
caravan,0.48666666666666664,0.4,0.31,0.29333333333333333,0.54,0.5700000000000001,0.5599999999999999,1.0,0.30333333333333334,0.32,0.3,0.2733333333333333,0.3321428571428572,0.40714285714285714,0.5285714285714286,0.525,0.27142857142857146,0.425,0.30714285714285716,0.2571428571428572,0.2785714285714286,0.35357142857142854,0.3,0.41785714285714287,0.4107142857142857,0.375,0.43928571428571433,0.2785714285714286,0.49642857142857144,0.3464285714285714
duikboot,0.31666666666666665,0.6866666666666666,0.24333333333333332,0.22999999999999998,0.2833333333333333,0.33666666666666667,0.27666666666666667,0.30333333333333334,1.0,0.22666666666666666,0.22666666666666666,0.2733333333333333,0.5392857142857144,0.3107142857142857,0.26785714285714285,0.25357142857142856,0.29642857142857143,0.3821428571428572,0.25357142857142856,0.39642857142857146,0.21785714285714283,0.21428571428571427,0.23214285714285715,0.26071428571428573,0.2642857142857143,0.28214285714285714,0.34285714285714286,0.3321428571428572,0.28928571428571426,0.39642857142857146
fiets,0.3933333333333333,0.27666666666666667,0.7033333333333334,0.7133333333333334,0.35,0.2866666666666667,0.2966666666666667,0.32,0.22666666666666666,1.0,0.58,0.24666666666666667,0.21428571428571427,0.3142857142857143,0.41785714285714287,0.4428571428571429,0.22857142857142856,0.29642857142857143,0.6928571428571428,0.23928571428571427,0.45,0.34285714285714286,0.6535714285714286,0.3321428571428572,0.29642857142857143,0.3464285714285714,0.3678571428571428,0.2571428571428572,0.2928571428571428,0.25
