exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,4.0,7.0,18.0,8.0,15.0,17.0,19.0,16.0,10.0,18.0,15.0,5.0,16.0,5.0,19.0,8.0,16.0,8.0,4.0
bijl,4.0,20.0,16.0,10.0,14.0,6.0,4.0,6.0,7.0,15.0,17.0,18.0,4.0,12.0,18.0,8.0,6.0,18.0,19.0,2.0
boksbeugel,7.0,16.0,20.0,6.0,4.0,8.0,5.0,3.0,5.0,9.0,8.0,2.0,8.0,18.0,16.0,7.0,6.0,6.0,14.0,8.0
boog,18.0,10.0,6.0,20.0,17.0,16.0,9.0,16.0,15.0,6.0,6.0,17.0,15.0,18.0,3.0,10.0,15.0,15.0,12.0,10.0
dolk,8.0,14.0,4.0,17.0,20.0,5.0,2.0,6.0,16.0,8.0,4.0,7.0,13.0,14.0,14.0,9.0,13.0,7.0,19.0,9.0
geweer,15.0,6.0,8.0,16.0,5.0,20.0,7.0,18.0,14.0,4.0,18.0,19.0,9.0,15.0,6.0,6.0,5.0,20.0,10.0,9.0
granaat,17.0,4.0,5.0,9.0,2.0,7.0,20.0,12.0,7.0,5.0,16.0,9.0,4.0,6.0,6.0,8.0,4.0,13.0,9.0,6.0
kanon,19.0,6.0,3.0,16.0,6.0,18.0,12.0,20.0,17.0,9.0,19.0,6.0,8.0,15.0,6.0,5.0,6.0,16.0,6.0,6.0
katapult,16.0,7.0,5.0,15.0,16.0,14.0,7.0,17.0,20.0,11.0,8.0,16.0,5.0,9.0,17.0,4.0,5.0,14.0,7.0,1.0
knuppel,10.0,15.0,9.0,6.0,8.0,4.0,5.0,9.0,11.0,20.0,4.0,6.0,15.0,17.0,19.0,4.0,6.0,3.0,7.0,14.0
mitrailleur,18.0,17.0,8.0,6.0,4.0,18.0,16.0,19.0,8.0,4.0,20.0,18.0,6.0,16.0,4.0,17.0,5.0,16.0,5.0,5.0
pistool,15.0,18.0,2.0,17.0,7.0,19.0,9.0,6.0,16.0,6.0,18.0,20.0,6.0,16.0,8.0,17.0,6.0,16.0,10.0,9.0
schild,5.0,4.0,8.0,15.0,13.0,9.0,4.0,8.0,5.0,15.0,6.0,6.0,20.0,8.0,6.0,3.0,4.0,5.0,18.0,4.0
speer,16.0,12.0,18.0,18.0,14.0,15.0,6.0,15.0,9.0,17.0,16.0,16.0,8.0,20.0,18.0,3.0,8.0,11.0,4.0,12.0
stok,5.0,18.0,16.0,3.0,14.0,6.0,6.0,6.0,17.0,19.0,4.0,8.0,6.0,18.0,20.0,5.0,5.0,16.0,17.0,13.0
tank,19.0,8.0,7.0,10.0,9.0,6.0,8.0,5.0,4.0,4.0,17.0,17.0,3.0,3.0,5.0,20.0,8.0,17.0,8.0,7.0
touw,8.0,6.0,6.0,15.0,13.0,5.0,4.0,6.0,5.0,6.0,5.0,6.0,4.0,8.0,5.0,8.0,20.0,4.0,6.0,17.0
tweeloop,16.0,18.0,6.0,15.0,7.0,20.0,13.0,16.0,14.0,3.0,16.0,16.0,5.0,11.0,16.0,17.0,4.0,20.0,1.0,4.0
zwaard,8.0,19.0,14.0,12.0,19.0,10.0,9.0,6.0,7.0,7.0,5.0,10.0,18.0,4.0,17.0,8.0,6.0,1.0,20.0,17.0
zweep,4.0,2.0,8.0,10.0,9.0,9.0,6.0,6.0,1.0,14.0,5.0,9.0,4.0,12.0,13.0,7.0,17.0,4.0,17.0,20.0
